"Team","Quarter1","Quarter2","Quarter3","Quarter4","GameCode","SeasonCode"
"LDLC ASVEL VILLEURBANNE",18,24,21,21,42,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",21,18,26,22,42,"E2023"
"FC BAYERN MUNICH",20,18,9,20,43,"E2023"
"FENERBAHCE BEKO ISTANBUL",19,22,14,21,43,"E2023"
"PANATHINAIKOS ATHENS",24,24,22,25,44,"E2023"
"BASKONIA VITORIA-GASTEIZ",22,21,23,15,44,"E2023"
"ZALGIRIS KAUNAS",12,18,23,19,45,"E2023"
"VALENCIA BASKET",20,32,20,15,45,"E2023"
"EA7 EMPORIO ARMANI MILAN",18,19,11,18,46,"E2023"
"AS MONACO",13,22,17,20,46,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",12,21,20,21,47,"E2023"
"FC BAYERN MUNICH",19,16,24,9,47,"E2023"
"MACCABI PLAYTIKA TEL AVIV",21,20,15,14,48,"E2023"
"REAL MADRID",36,16,22,25,48,"E2023"
"ZALGIRIS KAUNAS",30,26,24,8,49,"E2023"
"LDLC ASVEL VILLEURBANNE",24,26,22,19,49,"E2023"
"FENERBAHCE BEKO ISTANBUL",29,17,12,21,50,"E2023"
"OLYMPIACOS PIRAEUS",14,19,24,20,50,"E2023"
"FC BARCELONA",21,24,26,9,51,"E2023"
"PANATHINAIKOS ATHENS",20,13,14,25,51,"E2023"
"BASKONIA VITORIA-GASTEIZ",23,25,15,21,52,"E2023"
"PARTIZAN MOZZART BET BELGRADE",23,19,24,17,52,"E2023"
"VALENCIA BASKET",15,26,15,23,53,"E2023"
"ALBA BERLIN",14,25,15,17,53,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",20,21,28,24,54,"E2023"
"ANADOLU EFES ISTANBUL",18,27,17,19,54,"E2023"
"ANADOLU EFES ISTANBUL",13,25,13,23,12,55,"E2023"
"ZALGIRIS KAUNAS",14,12,20,28,8,55,"E2023"
"EA7 EMPORIO ARMANI MILAN",23,21,20,19,56,"E2023"
"VALENCIA BASKET",12,19,8,13,56,"E2023"
"MACCABI PLAYTIKA TEL AVIV",17,29,25,22,57,"E2023"
"FC BAYERN MUNICH",19,25,19,27,57,"E2023"
"PARTIZAN MOZZART BET BELGRADE",23,24,16,22,58,"E2023"
"FENERBAHCE BEKO ISTANBUL",27,29,13,15,58,"E2023"
"REAL MADRID",26,27,15,32,59,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",27,10,14,23,59,"E2023"
"OLYMPIACOS PIRAEUS",26,9,25,14,60,"E2023"
"BASKONIA VITORIA-GASTEIZ",20,30,17,8,60,"E2023"
"ALBA BERLIN",26,21,23,15,61,"E2023"
"PANATHINAIKOS ATHENS",27,33,22,17,61,"E2023"
"AS MONACO",14,27,16,23,62,"E2023"
"LDLC ASVEL VILLEURBANNE",23,14,24,9,62,"E2023"
"FC BARCELONA",21,26,18,21,63,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",18,25,19,19,63,"E2023"
"AS MONACO",25,19,22,16,64,"E2023"
"ANADOLU EFES ISTANBUL",28,20,21,20,64,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",25,20,15,27,65,"E2023"
"FENERBAHCE BEKO ISTANBUL",16,10,14,16,65,"E2023"
"MACCABI PLAYTIKA TEL AVIV",19,17,19,19,66,"E2023"
"OLYMPIACOS PIRAEUS",27,24,13,15,66,"E2023"
"VALENCIA BASKET",26,23,13,11,67,"E2023"
"REAL MADRID",24,19,20,13,67,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",21,24,20,21,68,"E2023"
"EA7 EMPORIO ARMANI MILAN",26,14,23,16,68,"E2023"
"ALBA BERLIN",13,22,20,13,69,"E2023"
"LDLC ASVEL VILLEURBANNE",28,15,10,20,69,"E2023"
"FC BAYERN MUNICH",25,28,17,24,70,"E2023"
"PARTIZAN MOZZART BET BELGRADE",32,19,12,22,70,"E2023"
"PANATHINAIKOS ATHENS",13,23,17,20,71,"E2023"
"ZALGIRIS KAUNAS",15,24,13,19,71,"E2023"
"BASKONIA VITORIA-GASTEIZ",26,29,15,24,72,"E2023"
"FC BARCELONA",18,11,24,18,72,"E2023"
"EA7 EMPORIO ARMANI MILAN",19,24,20,29,73,"E2023"
"ANADOLU EFES ISTANBUL",18,21,22,15,73,"E2023"
"MACCABI PLAYTIKA TEL AVIV",21,17,18,22,74,"E2023"
"FENERBAHCE BEKO ISTANBUL",28,18,11,16,74,"E2023"
