"Team","Quarter1","Quarter2","Quarter3","Quarter4","GameCode","SeasonCode"
"OLYMPIACOS PIRAEUS",27,17,15,23,151,"E2022"
"EA7 EMPORIO ARMANI MILAN",15,23,6,22,151,"E2022"
"VALENCIA BASKET",19,23,16,17,152,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",24,23,14,16,152,"E2022"
"REAL MADRID",22,29,27,20,153,"E2022"
"MACCABI PLAYTIKA TEL AVIV",7,27,15,16,153,"E2022"
"AS MONACO",8,23,15,18,154,"E2022"
"OLYMPIACOS PIRAEUS",20,14,8,18,154,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",16,18,17,8,155,"E2022"
"REAL MADRID",25,13,19,22,155,"E2022"
"ALBA BERLIN",20,25,15,23,156,"E2022"
"EA7 EMPORIO ARMANI MILAN",12,21,18,12,156,"E2022"
"PANATHINAIKOS ATHENS",19,20,20,19,10,157,"E2022"
"FENERBAHCE BEKO ISTANBUL",18,18,15,27,16,157,"E2022"
"FC BAYERN MUNICH",34,18,23,17,158,"E2022"
"CAZOO BASKONIA VITORIA-GASTEIZ",24,20,16,19,158,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",13,23,24,17,159,"E2022"
"ZALGIRIS KAUNAS",24,16,20,27,159,"E2022"
"LDLC ASVEL VILLEURBANNE",15,18,27,15,160,"E2022"
"FC BARCELONA",11,31,21,19,160,"E2022"
"MACCABI PLAYTIKA TEL AVIV",24,22,18,26,161,"E2022"
"PARTIZAN MOZZART BET BELGRADE",13,26,14,28,161,"E2022"
"VALENCIA BASKET",16,15,21,29,162,"E2022"
"ANADOLU EFES ISTANBUL",13,17,26,15,162,"E2022"
"FENERBAHCE BEKO ISTANBUL",19,27,21,12,163,"E2022"
"FC BAYERN MUNICH",18,21,10,22,163,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",23,31,18,20,164,"E2022"
"AS MONACO",15,21,14,18,164,"E2022"
"ALBA BERLIN",12,23,24,18,165,"E2022"
"REAL MADRID",25,21,20,18,165,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",22,16,15,30,166,"E2022"
"OLYMPIACOS PIRAEUS",22,20,21,22,166,"E2022"
"EA7 EMPORIO ARMANI MILAN",9,18,13,21,167,"E2022"
"ZALGIRIS KAUNAS",19,18,22,7,167,"E2022"
"FC BARCELONA",9,19,20,27,168,"E2022"
"ANADOLU EFES ISTANBUL",21,18,23,18,168,"E2022"
"LDLC ASVEL VILLEURBANNE",16,21,23,19,169,"E2022"
"VALENCIA BASKET",22,30,10,21,169,"E2022"
"PANATHINAIKOS ATHENS",24,21,20,23,170,"E2022"
"MACCABI PLAYTIKA TEL AVIV",17,20,21,28,170,"E2022"
"PARTIZAN MOZZART BET BELGRADE",29,18,20,16,171,"E2022"
"CAZOO BASKONIA VITORIA-GASTEIZ",17,19,14,15,171,"E2022"
"FENERBAHCE BEKO ISTANBUL",20,19,21,24,14,172,"E2022"
"AS MONACO",20,27,13,24,10,172,"E2022"
"MACCABI PLAYTIKA TEL AVIV",25,13,25,24,173,"E2022"
"ALBA BERLIN",10,18,22,24,173,"E2022"
"CAZOO BASKONIA VITORIA-GASTEIZ",28,12,23,15,174,"E2022"
"FC BARCELONA",28,19,17,21,174,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",18,25,12,19,175,"E2022"
"PANATHINAIKOS ATHENS",11,19,21,13,175,"E2022"
"VALENCIA BASKET",27,20,22,20,176,"E2022"
"PARTIZAN MOZZART BET BELGRADE",18,19,21,23,176,"E2022"
"ANADOLU EFES ISTANBUL",21,19,24,17,177,"E2022"
"FC BAYERN MUNICH",24,12,23,30,177,"E2022"
"ZALGIRIS KAUNAS",20,18,12,21,178,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",14,16,26,10,178,"E2022"
"OLYMPIACOS PIRAEUS",19,17,18,19,179,"E2022"
"REAL MADRID",15,13,16,16,179,"E2022"
"EA7 EMPORIO ARMANI MILAN",17,20,20,16,180,"E2022"
"LDLC ASVEL VILLEURBANNE",19,23,15,22,180,"E2022"
"ALBA BERLIN",25,22,21,20,181,"E2022"
"VALENCIA BASKET",24,26,17,27,181,"E2022"
"LDLC ASVEL VILLEURBANNE",25,23,23,20,182,"E2022"
"FENERBAHCE BEKO ISTANBUL",12,21,22,22,182,"E2022"
"PANATHINAIKOS ATHENS",19,8,37,25,183,"E2022"
"ZALGIRIS KAUNAS",24,18,16,7,183,"E2022"
"REAL MADRID",16,16,18,23,18,184,"E2022"
"FC BARCELONA",20,19,20,14,13,184,"E2022"
"AS MONACO",29,28,23,21,185,"E2022"
"EA7 EMPORIO ARMANI MILAN",22,28,24,14,185,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",18,19,17,24,186,"E2022"
"PARTIZAN MOZZART BET BELGRADE",20,25,12,22,186,"E2022"
"OLYMPIACOS PIRAEUS",24,27,20,24,187,"E2022"
"MACCABI PLAYTIKA TEL AVIV",25,11,28,25,187,"E2022"
"CAZOO BASKONIA VITORIA-GASTEIZ",29,19,22,28,16,188,"E2022"
"ANADOLU EFES ISTANBUL",28,23,26,21,13,188,"E2022"
"FC BAYERN MUNICH",22,21,23,25,189,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",18,20,17,29,189,"E2022"
"FENERBAHCE BEKO ISTANBUL",10,20,21,22,190,"E2022"
"OLYMPIACOS PIRAEUS",24,27,26,16,190,"E2022"
"FC BARCELONA",20,21,21,21,191,"E2022"
"MACCABI PLAYTIKA TEL AVIV",15,22,30,11,191,"E2022"
"EA7 EMPORIO ARMANI MILAN",18,22,22,27,192,"E2022"
"CAZOO BASKONIA VITORIA-GASTEIZ",17,17,26,23,192,"E2022"
"PARTIZAN MOZZART BET BELGRADE",25,25,26,16,193,"E2022"
"LDLC ASVEL VILLEURBANNE",16,20,15,20,193,"E2022"
"VALENCIA BASKET",16,17,28,21,194,"E2022"
"FC BAYERN MUNICH",14,18,24,17,194,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",30,18,22,14,195,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",14,21,16,21,195,"E2022"
"ANADOLU EFES ISTANBUL",16,22,17,25,196,"E2022"
"ZALGIRIS KAUNAS",16,12,21,21,196,"E2022"
"ALBA BERLIN",24,12,18,30,197,"E2022"
"AS MONACO",22,29,22,29,197,"E2022"
"REAL MADRID",26,22,20,15,198,"E2022"
"PANATHINAIKOS ATHENS",14,16,27,11,198,"E2022"
"FC BARCELONA",21,13,17,21,199,"E2022"
"FC BAYERN MUNICH",14,19,14,23,199,"E2022"
"EA7 EMPORIO ARMANI MILAN",22,23,14,15,200,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",18,14,17,19,200,"E2022"
"VALENCIA BASKET",28,27,23,15,201,"E2022"
"MACCABI PLAYTIKA TEL AVIV",24,21,34,15,201,"E2022"
"FENERBAHCE BEKO ISTANBUL",31,26,24,20,202,"E2022"
"ALBA BERLIN",27,20,14,25,202,"E2022"
"AS MONACO",20,26,25,20,203,"E2022"
"REAL MADRID",24,26,20,25,203,"E2022"
"ZALGIRIS KAUNAS",15,15,24,20,204,"E2022"
"PARTIZAN MOZZART BET BELGRADE",26,21,14,27,204,"E2022"
"OLYMPIACOS PIRAEUS",22,19,18,17,205,"E2022"
"ANADOLU EFES ISTANBUL",13,18,21,18,205,"E2022"
"LDLC ASVEL VILLEURBANNE",14,23,11,16,206,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",21,18,16,22,206,"E2022"
"CAZOO BASKONIA VITORIA-GASTEIZ",21,31,24,19,207,"E2022"
"PANATHINAIKOS ATHENS",23,15,27,25,207,"E2022"
"FENERBAHCE BEKO ISTANBUL",18,17,17,23,208,"E2022"
"EA7 EMPORIO ARMANI MILAN",23,14,24,21,208,"E2022"
"ALBA BERLIN",13,22,10,15,209,"E2022"
"OLYMPIACOS PIRAEUS",28,17,28,20,209,"E2022"
"MACCABI PLAYTIKA TEL AVIV",18,16,21,31,210,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",18,26,25,20,210,"E2022"
"FC BAYERN MUNICH",19,14,12,26,211,"E2022"
"PARTIZAN MOZZART BET BELGRADE",19,20,21,22,211,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",17,10,12,36,212,"E2022"
"FC BARCELONA",22,25,27,18,212,"E2022"
"ANADOLU EFES ISTANBUL",18,24,35,13,213,"E2022"
"REAL MADRID",24,15,21,29,213,"E2022"
"AS MONACO",28,22,17,20,214,"E2022"
"LDLC",21,19,23,12,214,"E2022"
"ZALGIRIS KAUNAS",20,18,23,18,215,"E2022"
"CAZOO",18,24,18,15,215,"E2022"
"PANATHINAIKOS ATHENS",26,23,19,23,216,"E2022"
"VALENCIA BASKET",21,21,27,23,216,"E2022"
"MACCABI PLAYTIKA TEL AVIV",18,21,22,29,217,"E2022"
"FC BAYERN MUNICH",18,26,23,15,217,"E2022"
"EA7 EMPORIO ARMANI MILAN",20,20,24,14,218,"E2022"
"PANATHINAIKOS ATHENS",21,18,21,16,218,"E2022"
"PARTIZAN MOZZART BET BELGRADE",22,24,23,25,219,"E2022"
"FENERBAHCE BEKO ISTANBUL",22,25,21,29,219,"E2022"
"REAL MADRID",22,31,23,20,220,"E2022"
"ZALGIRIS KAUNAS",24,14,14,17,220,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",25,19,17,11,221,"E2022"
"ALBA BERLIN",15,24,21,27,221,"E2022"
"LDLC ASVEL VILLEURBANNE",18,31,12,28,222,"E2022"
"ANADOLU EFES ISTANBUL",23,22,27,18,222,"E2022"
"VALENCIA BASKET",25,20,13,27,223,"E2022"
"OLYMPIACOS PIRAEUS",15,20,30,27,223,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",16,28,24,20,224,"E2022"
"CAZOO BASKONIA VITORIA-GASTEIZ",19,22,21,21,224,"E2022"
"FC BARCELONA",24,26,15,15,225,"E2022"
"AS MONACO",18,21,18,13,225,"E2022"
"AS MONACO",30,9,19,28,226,"E2022"
"MACCABI PLAYTIKA TEL AVIV",17,19,23,8,226,"E2022"
"FC BARCELONA",19,27,31,16,227,"E2022"
"ZALGIRIS KAUNAS",17,19,18,20,227,"E2022"
"PANATHINAIKOS ATHENS",21,19,14,28,228,"E2022"
"ANADOLU EFES ISTANBUL",18,25,21,23,228,"E2022"
"FC BAYERN MUNICH",19,22,11,35,229,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",23,15,18,24,229,"E2022"
"FENERBAHCE BEKO ISTANBUL",31,27,27,19,230,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",14,15,23,20,230,"E2022"
"LDLC ASVEL VILLEURBANNE",10,22,22,17,231,"E2022"
"REAL MADRID",20,27,16,12,231,"E2022"
"EA7 EMPORIO ARMANI MILAN",20,15,26,22,232,"E2022"
"OLYMPIACOS PIRAEUS",17,15,14,16,232,"E2022"
"PARTIZAN MOZZART BET BELGRADE",20,22,35,11,233,"E2022"
"ALBA BERLIN",19,25,9,21,233,"E2022"
"CAZOO BASKONIA VITORIA-GASTEIZ",27,30,24,33,234,"E2022"
"VALENCIA BASKET",24,24,16,11,234,"E2022"
"ALBA BERLIN",14,13,18,18,235,"E2022"
"ZALGIRIS KAUNAS",15,18,11,22,235,"E2022"
"OLYMPIACOS PIRAEUS",11,18,21,27,236,"E2022"
"FC BARCELONA",20,7,18,25,236,"E2022"
"FC BAYERN MUNICH",21,17,15,23,237,"E2022"
"LDLC ASVEL VILLEURBANNE",19,17,14,22,237,"E2022"
"VALENCIA BASKET",21,21,13,29,238,"E2022"
"EA7 EMPORIO ARMANI MILAN",17,22,26,23,238,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",26,21,16,16,239,"E2022"
"PARTIZAN MOZZART BET BELGRADE",28,17,20,23,239,"E2022"
"REAL MADRID",22,21,22,16,240,"E2022"
"CAZOO BASKONIA VITORIA-GASTEIZ",17,23,22,23,240,"E2022"
"AS MONACO",21,21,22,20,241,"E2022"
"PANATHINAIKOS ATHENS",17,19,21,13,241,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",20,29,19,26,242,"E2022"
"ANADOLU EFES ISTANBUL",25,20,22,8,242,"E2022"
"MACCABI PLAYTIKA TEL AVIV",17,26,18,17,243,"E2022"
"FENERBAHCE BEKO ISTANBUL",25,14,17,18,243,"E2022"
"ZALGIRIS KAUNAS",16,31,18,20,244,"E2022"
"LDLC ASVEL VILLEURBANNE",22,15,13,17,244,"E2022"
"OLYMPIACOS PIRAEUS",26,29,26,21,245,"E2022"
"FC BAYERN MUNICH",12,23,30,9,245,"E2022"
"EA7 EMPORIO ARMANI MILAN",13,17,19,27,246,"E2022"
"PARTIZAN MOZZART BET BELGRADE",19,10,17,16,246,"E2022"
"REAL MADRID",24,25,22,24,247,"E2022"
"VALENCIA BASKET",20,20,25,26,247,"E2022"
"ANADOLU EFES ISTANBUL",20,13,15,16,248,"E2022"
"MACCABI PLAYTIKA TEL AVIV",33,21,14,18,248,"E2022"
"FENERBAHCE BEKO ISTANBUL",18,19,24,20,249,"E2022"
"FC BARCELONA",30,10,16,17,249,"E2022"
"ALBA BERLIN",14,19,26,15,250,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",22,27,28,19,250,"E2022"
"PANATHINAIKOS ATHENS",9,20,23,23,251,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",17,25,13,11,251,"E2022"
"CAZOO BASKONIA VITORIA-GASTEIZ",28,19,26,20,252,"E2022"
"AS MONACO",23,29,22,28,252,"E2022"
"ANADOLU EFES ISTANBUL",23,14,27,20,253,"E2022"
"PARTIZAN MOZZART BET BELGRADE",11,28,24,34,253,"E2022"
"AS MONACO",21,20,22,18,254,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",22,15,16,15,254,"E2022"
"ZALGIRIS KAUNAS",17,17,15,23,255,"E2022"
"OLYMPIACOS PIRAEUS",15,25,21,13,255,"E2022"
"MACCABI PLAYTIKA TEL AVIV",29,20,23,21,256,"E2022"
"CAZOO BASKONIA VITORIA-GASTEIZ",23,22,20,14,256,"E2022"
"REAL MADRID",24,18,25,24,257,"E2022"
"EA7 EMPORIO ARMANI MILAN",23,17,26,21,257,"E2022"
"FC BARCELONA",18,22,17,28,258,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",15,21,21,22,258,"E2022"
"LDLC ASVEL VILLEURBANNE",26,17,19,20,259,"E2022"
"PANATHINAIKOS ATHENS",20,32,18,16,259,"E2022"
"FC BAYERN MUNICH",14,23,21,17,260,"E2022"
"ALBA BERLIN",20,18,18,20,260,"E2022"
"VALENCIA BASKET",22,21,18,21,261,"E2022"
"FENERBAHCE BEKO ISTANBUL",21,21,18,20,261,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",21,18,18,17,262,"E2022"
"CAZOO BASKONIA VITORIA-GASTEIZ",26,12,11,14,262,"E2022"
"ALBA BERLIN",24,25,19,27,263,"E2022"
"ANADOLU EFES ISTANBUL",21,19,27,26,263,"E2022"
"LDLC ASVEL VILLEURBANNE",22,21,16,8,264,"E2022"
"MACCABI PLAYTIKA TEL AVIV",22,24,22,17,264,"E2022"
"PANATHINAIKOS ATHENS",25,11,24,14,265,"E2022"
"FC BARCELONA",22,21,25,20,265,"E2022"
"FENERBAHCE BEKO ISTANBUL",22,24,19,22,266,"E2022"
"ZALGIRIS KAUNAS",16,19,20,24,266,"E2022"
"AS MONACO",22,26,23,19,267,"E2022"
"VALENCIA BASKET",22,19,23,15,267,"E2022"
"EA7 EMPORIO ARMANI MILAN",25,24,23,27,268,"E2022"
"FC BAYERN MUNICH",8,28,18,20,268,"E2022"
"PARTIZAN MOZZART BET BELGRADE",27,21,12,30,269,"E2022"
"OLYMPIACOS PIRAEUS",22,12,18,23,269,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",12,21,25,21,270,"E2022"
"REAL MADRID",26,24,18,28,270,"E2022"
"ANADOLU EFES ISTANBUL",22,25,21,21,271,"E2022"
"EA7 EMPORIO ARMANI MILAN",16,16,16,21,271,"E2022"
"PANATHINAIKOS ATHENS",21,27,23,15,272,"E2022"
"FC BAYERN MUNICH",27,16,11,22,272,"E2022"
"MACCABI PLAYTIKA TEL AVIV",28,34,25,24,273,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",13,20,20,27,273,"E2022"
"PARTIZAN MOZZART BET BELGRADE",21,24,13,22,274,"E2022"
"FC BARCELONA",25,19,22,23,274,"E2022"
"CAZOO BASKONIA VITORIA-GASTEIZ",25,19,24,25,275,"E2022"
"ALBA BERLIN",24,24,19,20,275,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",20,26,23,23,276,"E2022"
"VALENCIA BASKET",21,20,21,11,276,"E2022"
"ZALGIRIS KAUNAS",28,20,17,14,277,"E2022"
"AS MONACO",19,22,12,17,277,"E2022"
"OLYMPIACOS PIRAEUS",22,15,19,25,278,"E2022"
"LDLC ASVEL VILLEURBANNE",13,16,10,16,278,"E2022"
"REAL MADRID",24,25,19,22,279,"E2022"
"FENERBAHCE BEKO ISTANBUL",21,23,14,17,279,"E2022"
"ANADOLU EFES ISTANBUL",13,23,24,26,280,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",13,14,11,29,280,"E2022"
"MACCABI PLAYTIKA TEL AVIV",29,24,13,19,281,"E2022"
"EA7 EMPORIO ARMANI MILAN",21,15,20,10,281,"E2022"
"FC BARCELONA",19,15,16,22,282,"E2022"
"ALBA BERLIN",21,14,7,14,282,"E2022"
"ZALGIRIS KAUNAS",21,31,22,21,283,"E2022"
"VALENCIA BASKET",16,24,15,19,283,"E2022"
"LDLC ASVEL VILLEURBANNE",19,23,11,7,284,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",17,20,19,20,284,"E2022"
"OLYMPIACOS PIRAEUS",16,17,24,24,285,"E2022"
"PANATHINAIKOS ATHENS",17,21,10,25,285,"E2022"
"CAZOO BASKONIA VITORIA-GASTEIZ",25,13,22,32,286,"E2022"
"FENERBAHCE BEKO ISTANBUL",27,17,14,11,286,"E2022"
"FC BAYERN MUNICH",22,18,20,21,287,"E2022"
"AS MONACO",23,22,12,27,287,"E2022"
"PARTIZAN MOZZART BET BELGRADE",21,28,29,26,288,"E2022"
"REAL MADRID",23,15,34,18,288,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",26,19,20,22,289,"E2022"
"OLYMPIACOS PIRAEUS",30,17,12,20,289,"E2022"
"FENERBAHCE BEKO ISTANBUL",23,25,24,31,290,"E2022"
"ANADOLU EFES ISTANBUL",17,23,24,22,290,"E2022"
"CAZOO BASKONIA VITORIA-GASTEIZ",32,23,33,32,291,"E2022"
"LDLC ASVEL VILLEURBANNE",24,27,24,25,291,"E2022"
"VALENCIA BASKET",17,23,18,21,292,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",19,19,19,11,292,"E2022"
"REAL MADRID",19,21,16,23,293,"E2022"
"FC BAYERN MUNICH",13,23,8,23,293,"E2022"
"AS MONACO",22,13,21,28,294,"E2022"
"PARTIZAN MOZZART BET BELGRADE",18,24,20,26,294,"E2022"
"ZALGIRIS KAUNAS",17,25,14,12,295,"E2022"
"MACCABI PLAYTIKA TEL AVIV",17,28,7,15,295,"E2022"
"PANATHINAIKOS ATHENS",17,25,26,16,296,"E2022"
"ALBA BERLIN",25,24,17,22,296,"E2022"
"EA7 EMPORIO ARMANI MILAN",18,21,19,26,297,"E2022"
"FC BARCELONA",21,15,12,28,297,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",15,26,16,22,12,298,"E2022"
"FENERBAHCE BEKO ISTANBUL",21,18,18,22,10,298,"E2022"
"ALBA BERLIN",20,18,27,23,299,"E2022"
"LDLC ASVEL VILLEURBANNE",16,20,18,17,299,"E2022"
"OLYMPIACOS PIRAEUS",19,26,21,20,300,"E2022"
"CAZOO BASKONIA VITORIA-GASTEIZ",11,22,22,23,300,"E2022"
"MACCABI PLAYTIKA TEL AVIV",16,21,28,21,14,301,"E2022"
"REAL MADRID",18,24,20,24,10,301,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",22,17,26,24,302,"E2022"
"EA7 EMPORIO ARMANI MILAN",26,21,21,16,302,"E2022"
"ANADOLU EFES ISTANBUL",23,18,19,27,303,"E2022"
"AS MONACO",16,23,15,18,303,"E2022"
"FC BARCELONA",24,27,21,13,304,"E2022"
"VALENCIA BASKET",21,25,15,10,304,"E2022"
"PARTIZAN MOZZART BET BELGRADE",18,21,19,25,305,"E2022"
"PANATHINAIKOS ATHENS",26,19,21,15,305,"E2022"
"FC BAYERN MUNICH",18,20,9,33,306,"E2022"
"ZALGIRIS KAUNAS",19,15,17,32,306,"E2022"
"OLYMPIACOS PIRAEUS",19,18,26,16,307,"E2022"
"FENERBAHCE BEKO ISTANBUL",21,14,16,17,307,"E2022"
"AS MONACO",16,17,17,17,308,"E2022"
"MACCABI PLAYTIKA TEL AVIV",18,18,24,19,308,"E2022"
"REAL MADRID",22,22,20,23,309,"E2022"
"PARTIZAN MOZZART BET BELGRADE",22,26,15,26,309,"E2022"
"FC BARCELONA",25,23,18,25,310,"E2022"
"ZALGIRIS KAUNAS",13,18,22,16,310,"E2022"
"OLYMPIACOS PIRAEUS",24,13,19,22,311,"E2022"
"FENERBAHCE BEKO ISTANBUL",10,24,17,31,311,"E2022"
"AS MONACO",22,20,25,19,312,"E2022"
"MACCABI PLAYTIKA TEL AVIV",18,23,13,20,312,"E2022"
"REAL MADRID",21,16,25,18,313,"E2022"
"PARTIZAN MOZZART BET BELGRADE",31,20,24,20,313,"E2022"
"FC BARCELONA",20,25,23,21,314,"E2022"
"ZALGIRIS KAUNAS",21,23,22,15,314,"E2022"
"FENERBAHCE BEKO ISTANBUL",21,14,16,20,315,"E2022"
"OLYMPIACOS PIRAEUS",15,23,7,27,315,"E2022"
"MACCABI PLAYTIKA TEL AVIV",16,16,25,21,316,"E2022"
"AS MONACO",22,19,19,23,316,"E2022"
"PARTIZAN MOZZART BET BELGRADE",32,16,15,17,317,"E2022"
"REAL MADRID",19,26,21,16,317,"E2022"
"ZALGIRIS KAUNAS",10,16,22,18,318,"E2022"
"FC BARCELONA",13,16,32,16,318,"E2022"
"FENERBAHCE BEKO ISTANBUL",18,14,16,25,319,"E2022"
"OLYMPIACOS PIRAEUS",17,16,16,20,319,"E2022"
"MACCABI PLAYTIKA TEL AVIV",17,30,32,25,320,"E2022"
"AS MONACO",24,12,17,16,320,"E2022"
"PARTIZAN MOZZART BET BELGRADE",15,27,13,23,321,"E2022"
"REAL MADRID",27,18,16,24,321,"E2022"
"OLYMPIACOS PIRAEUS",20,24,21,19,323,"E2022"
"FENERBAHCE BEKO ISTANBUL",15,18,19,20,323,"E2022"
"AS MONACO",26,27,19,25,324,"E2022"
"MACCABI PLAYTIKA TEL AVIV",33,16,21,16,324,"E2022"
"REAL MADRID",22,17,30,29,325,"E2022"
"PARTIZAN MOZZART BET BELGRADE",23,32,21,18,325,"E2022"
"OLYMPIACOS PIRAEUS",14,15,27,20,327,"E2022"
"AS MONACO",20,21,2,19,327,"E2022"
"FC BARCELONA",18,24,13,11,328,"E2022"
"REAL MADRID",18,18,22,20,328,"E2022"
"AS MONACO",24,20,16,18,329,"E2022"
"FC BARCELONA",13,15,17,21,329,"E2022"
"OLYMPIACOS PIRAEUS",24,21,18,15,330,"E2022"
"REAL MADRID",17,28,14,20,330,"E2022"
"AS MONACO",22,16,18,19,1,"E2021"
"PANATHINAIKOS OPAP ATHENS",15,13,16,19,1,"E2021"
"MACCABI PLAYTIKA TEL AVIV",25,15,14,15,2,"E2021"
"FC BAYERN MUNICH",18,14,26,10,2,"E2021"
"AX ARMANI EXCHANGE MILAN",21,23,18,22,3,"E2021"
"CSKA MOSCOW",29,16,14,15,3,"E2021"
"REAL MADRID",32,18,18,14,4,"E2021"
"ANADOLU EFES ISTANBUL",15,20,13,21,4,"E2021"
"UNICS KAZAN",22,11,16,20,5,"E2021"
"ZENIT ST PETERSBURG",18,15,18,19,5,"E2021"
"FENERBAHCE BEKO ISTANBUL",18,10,17,16,6,"E2021"
"CRVENA ZVEZDA MTS BELGRADE",15,11,11,20,6,"E2021"
"LDLC ASVEL VILLEURBANNE",19,25,19,25,7,"E2021"
"ZALGIRIS KAUNAS",16,20,19,21,7,"E2021"
"OLYMPIACOS PIRAEUS",28,19,16,12,8,"E2021"
"BASKONIA VITORIA-GASTEIZ",13,9,20,8,8,"E2021"
"FC BARCELONA",28,22,13,33,9,"E2021"
"ALBA BERLIN",15,14,17,18,9,"E2021"
"ZALGIRIS KAUNAS",16,18,17,13,10,"E2021"
"ZENIT ST PETERSBURG",21,19,15,15,10,"E2021"
"PANATHINAIKOS OPAP ATHENS",20,25,19,27,11,"E2021"
"FENERBAHCE BEKO ISTANBUL",21,25,21,20,11,"E2021"
"MACCABI PLAYTIKA TEL AVIV",10,17,10,26,12,"E2021"
"CRVENA ZVEZDA MTS BELGRADE",20,15,19,21,12,"E2021"
"FC BAYERN MUNICH",15,18,14,25,13,"E2021"
"FC BARCELONA",16,28,19,17,13,"E2021"
"UNICS KAZAN",15,20,23,16,6,14,"E2021"
"AS MONACO",18,21,11,24,14,14,"E2021"
"ANADOLU EFES ISTANBUL",21,25,22,28,15,"E2021"
"CSKA MOSCOW",26,25,28,21,15,"E2021"
"ALBA BERLIN",18,13,12,24,16,"E2021"
"LDLC ASVEL VILLEURBANNE",13,21,15,22,16,"E2021"
"OLYMPIACOS PIRAEUS",13,22,19,20,17,"E2021"
"REAL MADRID",10,26,16,16,17,"E2021"
"BASKONIA VITORIA-GASTEIZ",17,13,17,17,18,"E2021"
"AX ARMANI EXCHANGE MILAN",19,19,19,21,18,"E2021"
"UNICS KAZAN",12,14,19,28,19,"E2021"
"FC BAYERN MUNICH",19,18,13,20,19,"E2021"
"CSKA MOSCOW",21,15,23,18,20,"E2021"
"ZENIT ST PETERSBURG",14,17,21,15,20,"E2021"
"ALBA BERLIN",18,9,30,27,21,"E2021"
"FENERBAHCE BEKO ISTANBUL",19,16,18,17,21,"E2021"
"LDLC ASVEL VILLEURBANNE",20,15,18,22,22,"E2021"
"ANADOLU EFES ISTANBUL",25,24,13,11,22,"E2021"
"AX ARMANI EXCHANGE MILAN",26,26,11,20,23,"E2021"
"MACCABI PLAYTIKA TEL AVIV",15,15,19,23,23,"E2021"
"BASKONIA VITORIA-GASTEIZ",15,25,21,20,24,"E2021"
"PANATHINAIKOS OPAP ATHENS",17,18,24,20,24,"E2021"
"CRVENA ZVEZDA MTS BELGRADE",13,16,17,27,25,"E2021"
"ZALGIRIS KAUNAS",14,13,15,19,25,"E2021"
"REAL MADRID",30,21,21,22,26,"E2021"
"AS MONACO",12,27,26,21,26,"E2021"
"FC BARCELONA",10,17,28,12,12,27,"E2021"
"OLYMPIACOS PIRAEUS",17,15,15,20,11,27,"E2021"
"ZENIT ST PETERSBURG",31,12,11,25,28,"E2021"
"FC BAYERN MUNICH",16,19,25,11,28,"E2021"
"FENERBAHCE BEKO ISTANBUL",21,23,17,19,29,"E2021"
"UNICS KAZAN",8,14,5,14,29,"E2021"
"ALBA BERLIN",15,14,18,29,30,"E2021"
"BASKONIA VITORIA-GASTEIZ",21,31,10,18,30,"E2021"
"LDLC ASVEL VILLEURBANNE",21,21,20,23,31,"E2021"
"MACCABI PLAYTIKA TEL AVIV",25,24,26,18,31,"E2021"
"CSKA MOSCOW",17,25,15,21,32,"E2021"
"CRVENA ZVEZDA MTS BELGRADE",21,21,15,19,32,"E2021"
"AS MONACO",22,13,19,21,6,33,"E2021"
