"Team","Quarter1","Quarter2","Quarter3","Quarter4","GameCode","SeasonCode"
"LDLC ASVEL VILLEURBANNE",18,42,63,84,42,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",21,39,65,87,42,"E2023"
"FC BAYERN MUNICH",20,38,47,67,43,"E2023"
"FENERBAHCE BEKO ISTANBUL",19,41,55,76,43,"E2023"
"PANATHINAIKOS ATHENS",24,48,70,95,44,"E2023"
"BASKONIA VITORIA-GASTEIZ",22,43,66,81,44,"E2023"
"ZALGIRIS KAUNAS",12,30,53,72,45,"E2023"
"VALENCIA BASKET",20,52,72,87,45,"E2023"
"EA7 EMPORIO ARMANI MILAN",18,37,48,66,46,"E2023"
"AS MONACO",13,35,52,72,46,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",12,33,53,74,47,"E2023"
"FC BAYERN MUNICH",19,35,59,68,47,"E2023"
"MACCABI PLAYTIKA TEL AVIV",21,41,56,70,48,"E2023"
"REAL MADRID",36,52,74,99,48,"E2023"
"ZALGIRIS KAUNAS",30,56,80,88,49,"E2023"
"LDLC ASVEL VILLEURBANNE",24,50,72,91,49,"E2023"
"FENERBAHCE BEKO ISTANBUL",29,46,58,79,50,"E2023"
"OLYMPIACOS PIRAEUS",14,33,57,77,50,"E2023"
"FC BARCELONA",21,45,71,80,51,"E2023"
"PANATHINAIKOS ATHENS",20,33,47,72,51,"E2023"
"BASKONIA VITORIA-GASTEIZ",23,48,63,84,52,"E2023"
"PARTIZAN MOZZART BET BELGRADE",23,42,66,83,52,"E2023"
"VALENCIA BASKET",15,41,56,79,53,"E2023"
"ALBA BERLIN",14,39,54,71,53,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",20,41,69,93,54,"E2023"
"ANADOLU EFES ISTANBUL",18,45,62,81,54,"E2023"
"ANADOLU EFES ISTANBUL",13,38,51,74,86,55,"E2023"
"ZALGIRIS KAUNAS",14,26,46,74,82,55,"E2023"
"EA7 EMPORIO ARMANI MILAN",23,44,64,83,56,"E2023"
"VALENCIA BASKET",12,31,39,52,56,"E2023"
"MACCABI PLAYTIKA TEL AVIV",17,46,71,93,57,"E2023"
"FC BAYERN MUNICH",19,44,63,90,57,"E2023"
"PARTIZAN MOZZART BET BELGRADE",23,47,63,85,58,"E2023"
"FENERBAHCE BEKO ISTANBUL",27,56,69,84,58,"E2023"
"REAL MADRID",26,53,68,100,59,"E2023"
"VIRTUS SEGAFREDO BOLOGNA",27,37,51,74,59,"E2023"
"OLYMPIACOS PIRAEUS",26,35,60,74,60,"E2023"
"BASKONIA VITORIA-GASTEIZ",20,50,67,75,60,"E2023"
"ALBA BERLIN",26,47,70,85,61,"E2023"
"PANATHINAIKOS ATHENS",27,60,82,99,61,"E2023"
"AS MONACO",14,41,57,80,62,"E2023"
"LDLC ASVEL VILLEURBANNE",23,37,61,70,62,"E2023"
"FC BARCELONA",21,47,65,86,63,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",18,43,62,81,63,"E2023"
"AS MONACO",25,44,66,82,64,"E2023"
"ANADOLU EFES ISTANBUL",28,48,69,89,64,"E2023"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",25,45,60,87,65,"E2023"
"FENERBAHCE BEKO ISTANBUL",16,26,40,56,65,"E2023"
"MACCABI PLAYTIKA TEL AVIV",19,36,55,74,66,"E2023"
"OLYMPIACOS PIRAEUS",27,51,64,79,66,"E2023"
"VALENCIA BASKET",26,49,62,73,67,"E2023"
"REAL MADRID",24,43,63,76,67,"E2023"
