"Team","Quarter1","Quarter2","Quarter3","Quarter4","GameCode","SeasonCode"
"VIRTUS SEGAFREDO BOLOGNA",18,38,55,84,189,"E2022"
"FENERBAHCE BEKO ISTANBUL",10,30,51,73,190,"E2022"
"OLYMPIACOS PIRAEUS",24,51,77,93,190,"E2022"
"FC BARCELONA",20,41,62,83,191,"E2022"
"MACCABI PLAYTIKA TEL AVIV",15,37,67,78,191,"E2022"
"EA7 EMPORIO ARMANI MILAN",18,40,62,89,192,"E2022"
"CAZOO BASKONIA VITORIA-GASTEIZ",17,34,60,83,192,"E2022"
"PARTIZAN MOZZART BET BELGRADE",25,50,76,92,193,"E2022"
"LDLC ASVEL VILLEURBANNE",16,36,51,71,193,"E2022"
"VALENCIA BASKET",16,33,61,82,194,"E2022"
"FC BAYERN MUNICH",14,32,56,73,194,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",30,48,70,84,195,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",14,35,51,72,195,"E2022"
"ANADOLU EFES ISTANBUL",16,38,55,80,196,"E2022"
"ZALGIRIS KAUNAS",16,28,49,70,196,"E2022"
"ALBA BERLIN",24,36,54,84,197,"E2022"
"AS MONACO",22,51,73,102,197,"E2022"
"REAL MADRID",26,48,68,83,198,"E2022"
"PANATHINAIKOS ATHENS",14,30,57,68,198,"E2022"
"FC BARCELONA",21,34,51,72,199,"E2022"
"FC BAYERN MUNICH",14,33,47,70,199,"E2022"
"EA7 EMPORIO ARMANI MILAN",22,45,59,74,200,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",18,32,49,68,200,"E2022"
"VALENCIA BASKET",28,55,78,93,201,"E2022"
"MACCABI PLAYTIKA TEL AVIV",24,45,79,94,201,"E2022"
"FENERBAHCE BEKO ISTANBUL",31,57,81,101,202,"E2022"
"ALBA BERLIN",27,47,61,86,202,"E2022"
"AS MONACO",20,46,71,91,203,"E2022"
"REAL MADRID",24,50,70,95,203,"E2022"
"ZALGIRIS KAUNAS",15,30,54,74,204,"E2022"
"PARTIZAN MOZZART BET BELGRADE",26,47,61,88,204,"E2022"
"OLYMPIACOS PIRAEUS",22,41,59,76,205,"E2022"
"ANADOLU EFES ISTANBUL",13,31,52,70,205,"E2022"
"LDLC ASVEL VILLEURBANNE",14,37,48,64,206,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",21,39,55,77,206,"E2022"
"CAZOO BASKONIA VITORIA-GASTEIZ",21,52,76,95,207,"E2022"
"PANATHINAIKOS ATHENS",23,38,65,90,207,"E2022"
"FENERBAHCE BEKO ISTANBUL",18,35,52,75,208,"E2022"
"EA7 EMPORIO ARMANI MILAN",23,37,61,82,208,"E2022"
"ALBA BERLIN",13,35,45,60,209,"E2022"
"OLYMPIACOS PIRAEUS",28,45,73,93,209,"E2022"
"MACCABI PLAYTIKA TEL AVIV",18,34,55,86,210,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",18,44,69,89,210,"E2022"
"FC BAYERN MUNICH",19,33,45,71,211,"E2022"
"PARTIZAN MOZZART BET BELGRADE",19,39,60,82,211,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",17,27,39,75,212,"E2022"
"FC BARCELONA",22,47,74,92,212,"E2022"
"ANADOLU EFES ISTANBUL",18,42,77,90,213,"E2022"
"REAL MADRID",24,39,60,89,213,"E2022"
"AS MONACO",28,50,67,87,214,"E2022"
"LDLC",21,40,63,75,214,"E2022"
"ZALGIRIS KAUNAS",20,38,61,79,215,"E2022"
"CAZOO",18,42,60,75,215,"E2022"
"PANATHINAIKOS ATHENS",26,49,68,91,216,"E2022"
"VALENCIA BASKET",21,42,69,92,216,"E2022"
"MACCABI PLAYTIKA TEL AVIV",18,39,61,90,217,"E2022"
"FC BAYERN MUNICH",18,44,67,82,217,"E2022"
"EA7 EMPORIO ARMANI MILAN",20,40,64,78,218,"E2022"
"PANATHINAIKOS ATHENS",21,39,60,76,218,"E2022"
"PARTIZAN MOZZART BET BELGRADE",22,46,69,94,219,"E2022"
"FENERBAHCE BEKO ISTANBUL",22,47,68,97,219,"E2022"
"REAL MADRID",22,53,76,96,220,"E2022"
"ZALGIRIS KAUNAS",24,38,52,69,220,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",25,44,61,72,221,"E2022"
"ALBA BERLIN",15,39,60,87,221,"E2022"
"LDLC ASVEL VILLEURBANNE",18,49,61,89,222,"E2022"
"ANADOLU EFES ISTANBUL",23,45,72,90,222,"E2022"
"VALENCIA BASKET",25,45,58,85,223,"E2022"
"OLYMPIACOS PIRAEUS",15,35,65,92,223,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",16,44,68,88,224,"E2022"
"CAZOO BASKONIA VITORIA-GASTEIZ",19,41,62,83,224,"E2022"
"FC BARCELONA",24,50,65,80,225,"E2022"
"AS MONACO",18,39,57,70,225,"E2022"
"AS MONACO",30,39,58,86,226,"E2022"
"MACCABI PLAYTIKA TEL AVIV",17,36,59,67,226,"E2022"
"FC BARCELONA",19,46,77,93,227,"E2022"
"ZALGIRIS KAUNAS",17,36,54,74,227,"E2022"
"PANATHINAIKOS ATHENS",21,40,54,82,228,"E2022"
"ANADOLU EFES ISTANBUL",18,43,64,87,228,"E2022"
"FC BAYERN MUNICH",19,41,52,87,229,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",23,38,56,80,229,"E2022"
"FENERBAHCE BEKO ISTANBUL",31,58,85,104,230,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",14,29,52,72,230,"E2022"
"LDLC ASVEL VILLEURBANNE",10,32,54,71,231,"E2022"
"REAL MADRID",20,47,63,75,231,"E2022"
"EA7 EMPORIO ARMANI MILAN",20,35,61,83,232,"E2022"
"OLYMPIACOS PIRAEUS",17,32,46,62,232,"E2022"
"PARTIZAN MOZZART BET BELGRADE",20,42,77,88,233,"E2022"
"ALBA BERLIN",19,44,53,74,233,"E2022"
"CAZOO BASKONIA VITORIA-GASTEIZ",27,57,81,114,234,"E2022"
"VALENCIA BASKET",24,48,64,75,234,"E2022"
"ALBA BERLIN",14,27,45,63,235,"E2022"
"ZALGIRIS KAUNAS",15,33,44,66,235,"E2022"
"OLYMPIACOS PIRAEUS",11,29,50,77,236,"E2022"
"FC BARCELONA",20,27,45,70,236,"E2022"
"FC BAYERN MUNICH",21,38,53,76,237,"E2022"
"LDLC ASVEL VILLEURBANNE",19,36,50,72,237,"E2022"
"VALENCIA BASKET",21,42,55,84,238,"E2022"
"EA7 EMPORIO ARMANI MILAN",17,39,65,88,238,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",26,47,63,79,239,"E2022"
"PARTIZAN MOZZART BET BELGRADE",28,45,65,88,239,"E2022"
"REAL MADRID",22,43,65,81,240,"E2022"
"CAZOO BASKONIA VITORIA-GASTEIZ",17,40,62,85,240,"E2022"
"AS MONACO",21,42,64,84,241,"E2022"
"PANATHINAIKOS ATHENS",17,36,57,70,241,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",20,49,68,94,242,"E2022"
"ANADOLU EFES ISTANBUL",25,45,67,75,242,"E2022"
"MACCABI PLAYTIKA TEL AVIV",17,43,61,78,243,"E2022"
"FENERBAHCE BEKO ISTANBUL",25,39,56,74,243,"E2022"
"ZALGIRIS KAUNAS",16,47,65,85,244,"E2022"
"LDLC ASVEL VILLEURBANNE",22,37,50,67,244,"E2022"
"OLYMPIACOS PIRAEUS",26,55,81,102,245,"E2022"
"FC BAYERN MUNICH",12,35,65,74,245,"E2022"
"EA7 EMPORIO ARMANI MILAN",13,30,49,76,246,"E2022"
"PARTIZAN MOZZART BET BELGRADE",19,29,46,62,246,"E2022"
"REAL MADRID",24,49,71,95,247,"E2022"
"VALENCIA BASKET",20,40,65,91,247,"E2022"
"ANADOLU EFES ISTANBUL",20,33,48,64,248,"E2022"
"MACCABI PLAYTIKA TEL AVIV",33,54,68,86,248,"E2022"
"FENERBAHCE BEKO ISTANBUL",18,37,61,81,249,"E2022"
"FC BARCELONA",30,40,56,73,249,"E2022"
"ALBA BERLIN",14,33,59,74,250,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",22,49,77,96,250,"E2022"
"PANATHINAIKOS ATHENS",9,29,52,75,251,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",17,42,55,66,251,"E2022"
"CAZOO BASKONIA VITORIA-GASTEIZ",28,47,73,93,252,"E2022"
"AS MONACO",23,52,74,102,252,"E2022"
"ANADOLU EFES ISTANBUL",23,37,64,84,253,"E2022"
"PARTIZAN MOZZART BET BELGRADE",11,39,63,97,253,"E2022"
"AS MONACO",21,41,63,81,254,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",22,37,53,68,254,"E2022"
"ZALGIRIS KAUNAS",17,34,49,72,255,"E2022"
"OLYMPIACOS PIRAEUS",15,40,61,74,255,"E2022"
"MACCABI PLAYTIKA TEL AVIV",29,49,72,93,256,"E2022"
"CAZOO BASKONIA VITORIA-GASTEIZ",23,45,65,79,256,"E2022"
"REAL MADRID",24,42,67,91,257,"E2022"
"EA7 EMPORIO ARMANI MILAN",23,40,66,87,257,"E2022"
"FC BARCELONA",18,40,57,85,258,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",15,36,57,79,258,"E2022"
"LDLC ASVEL VILLEURBANNE",26,43,62,82,259,"E2022"
"PANATHINAIKOS ATHENS",20,52,70,86,259,"E2022"
"FC BAYERN MUNICH",14,37,58,75,260,"E2022"
"ALBA BERLIN",20,38,56,76,260,"E2022"
"VALENCIA BASKET",22,43,61,82,261,"E2022"
"FENERBAHCE BEKO ISTANBUL",21,42,60,80,261,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",21,39,57,74,262,"E2022"
"CAZOO BASKONIA VITORIA-GASTEIZ",26,38,49,63,262,"E2022"
"ALBA BERLIN",24,49,68,95,263,"E2022"
"ANADOLU EFES ISTANBUL",21,40,67,93,263,"E2022"
"LDLC ASVEL VILLEURBANNE",22,43,59,67,264,"E2022"
"MACCABI PLAYTIKA TEL AVIV",22,46,68,85,264,"E2022"
"PANATHINAIKOS ATHENS",25,36,60,74,265,"E2022"
"FC BARCELONA",22,43,68,88,265,"E2022"
"FENERBAHCE BEKO ISTANBUL",22,46,65,87,266,"E2022"
"ZALGIRIS KAUNAS",16,35,55,79,266,"E2022"
"AS MONACO",22,48,71,90,267,"E2022"
"VALENCIA BASKET",22,41,64,79,267,"E2022"
"EA7 EMPORIO ARMANI MILAN",25,49,72,99,268,"E2022"
"FC BAYERN MUNICH",8,36,54,74,268,"E2022"
"PARTIZAN MOZZART BET BELGRADE",27,48,60,90,269,"E2022"
"OLYMPIACOS PIRAEUS",22,34,52,75,269,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",12,33,58,79,270,"E2022"
"REAL MADRID",26,50,68,96,270,"E2022"
"ANADOLU EFES ISTANBUL",22,47,68,89,271,"E2022"
"EA7 EMPORIO ARMANI MILAN",16,32,48,69,271,"E2022"
"PANATHINAIKOS ATHENS",21,48,71,86,272,"E2022"
"FC BAYERN MUNICH",27,43,54,76,272,"E2022"
"MACCABI PLAYTIKA TEL AVIV",28,62,87,111,273,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",13,33,53,80,273,"E2022"
"PARTIZAN MOZZART BET BELGRADE",21,45,58,80,274,"E2022"
"FC BARCELONA",25,44,66,89,274,"E2022"
"CAZOO BASKONIA VITORIA-GASTEIZ",25,44,68,93,275,"E2022"
"ALBA BERLIN",24,48,67,87,275,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",20,46,69,92,276,"E2022"
"VALENCIA BASKET",21,41,62,73,276,"E2022"
"ZALGIRIS KAUNAS",28,48,65,79,277,"E2022"
"AS MONACO",19,41,53,70,277,"E2022"
"OLYMPIACOS PIRAEUS",22,37,56,81,278,"E2022"
"LDLC ASVEL VILLEURBANNE",13,29,39,55,278,"E2022"
"REAL MADRID",24,49,68,90,279,"E2022"
"FENERBAHCE BEKO ISTANBUL",21,44,58,75,279,"E2022"
"ANADOLU EFES ISTANBUL",13,36,60,86,280,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",13,27,38,67,280,"E2022"
"MACCABI PLAYTIKA TEL AVIV",29,53,66,85,281,"E2022"
"EA7 EMPORIO ARMANI MILAN",21,36,56,66,281,"E2022"
"FC BARCELONA",19,34,50,72,282,"E2022"
"ALBA BERLIN",21,35,42,56,282,"E2022"
"ZALGIRIS KAUNAS",21,52,74,95,283,"E2022"
"VALENCIA BASKET",16,40,55,74,283,"E2022"
"LDLC ASVEL VILLEURBANNE",19,42,53,60,284,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",17,37,56,76,284,"E2022"
"OLYMPIACOS PIRAEUS",16,33,57,81,285,"E2022"
"PANATHINAIKOS ATHENS",17,38,48,73,285,"E2022"
"CAZOO BASKONIA VITORIA-GASTEIZ",25,38,60,92,286,"E2022"
"FENERBAHCE BEKO ISTANBUL",27,44,58,69,286,"E2022"
"FC BAYERN MUNICH",22,40,60,81,287,"E2022"
"AS MONACO",23,45,57,84,287,"E2022"
"PARTIZAN MOZZART BET BELGRADE",21,49,78,104,288,"E2022"
"REAL MADRID",23,38,72,90,288,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",26,45,65,87,289,"E2022"
"OLYMPIACOS PIRAEUS",30,47,59,79,289,"E2022"
"FENERBAHCE BEKO ISTANBUL",23,48,72,103,290,"E2022"
"ANADOLU EFES ISTANBUL",17,40,64,86,290,"E2022"
"CAZOO BASKONIA VITORIA-GASTEIZ",32,55,88,120,291,"E2022"
"LDLC ASVEL VILLEURBANNE",24,51,75,100,291,"E2022"
"VALENCIA BASKET",17,40,58,79,292,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",19,38,57,68,292,"E2022"
"REAL MADRID",19,40,56,79,293,"E2022"
"FC BAYERN MUNICH",13,36,44,67,293,"E2022"
"AS MONACO",22,35,56,84,294,"E2022"
"PARTIZAN MOZZART BET BELGRADE",18,42,62,88,294,"E2022"
"ZALGIRIS KAUNAS",17,42,56,68,295,"E2022"
"MACCABI PLAYTIKA TEL AVIV",17,45,52,67,295,"E2022"
"PANATHINAIKOS ATHENS",17,42,68,84,296,"E2022"
"ALBA BERLIN",25,49,66,88,296,"E2022"
"EA7 EMPORIO ARMANI MILAN",18,39,58,84,297,"E2022"
"FC BARCELONA",21,36,48,76,297,"E2022"
"CRVENA ZVEZDA MERIDIANBET BELGRADE",15,41,57,79,91,298,"E2022"
"FENERBAHCE BEKO ISTANBUL",21,39,57,79,89,298,"E2022"
"ALBA BERLIN",20,38,65,88,299,"E2022"
"LDLC ASVEL VILLEURBANNE",16,36,54,71,299,"E2022"
"OLYMPIACOS PIRAEUS",19,45,66,86,300,"E2022"
"CAZOO BASKONIA VITORIA-GASTEIZ",11,33,55,78,300,"E2022"
"MACCABI PLAYTIKA TEL AVIV",16,37,65,86,100,301,"E2022"
"REAL MADRID",18,42,62,86,96,301,"E2022"
"VIRTUS SEGAFREDO BOLOGNA",22,39,65,89,302,"E2022"
"EA7 EMPORIO ARMANI MILAN",26,47,68,84,302,"E2022"
"ANADOLU EFES ISTANBUL",23,41,60,87,303,"E2022"
"AS MONACO",16,39,54,72,303,"E2022"
"FC BARCELONA",24,51,72,85,304,"E2022"
"VALENCIA BASKET",21,46,61,71,304,"E2022"
"PARTIZAN MOZZART BET BELGRADE",18,39,58,83,305,"E2022"
"PANATHINAIKOS ATHENS",26,45,66,81,305,"E2022"
"FC BAYERN MUNICH",18,38,47,80,306,"E2022"
"ZALGIRIS KAUNAS",19,34,51,83,306,"E2022"
"OLYMPIACOS PIRAEUS",19,37,63,79,307,"E2022"
"FENERBAHCE BEKO ISTANBUL",21,35,51,68,307,"E2022"
"AS MONACO",16,33,50,67,308,"E2022"
"MACCABI PLAYTIKA TEL AVIV",18,36,60,79,308,"E2022"
"REAL MADRID",22,44,64,87,309,"E2022"
"PARTIZAN MOZZART BET BELGRADE",22,48,63,89,309,"E2022"
"FC BARCELONA",25,48,66,91,310,"E2022"
"ZALGIRIS KAUNAS",13,31,53,69,310,"E2022"
"OLYMPIACOS PIRAEUS",24,37,56,78,311,"E2022"
"FENERBAHCE BEKO ISTANBUL",10,34,51,82,311,"E2022"
"AS MONACO",22,42,67,86,312,"E2022"
"MACCABI PLAYTIKA TEL AVIV",18,41,54,74,312,"E2022"
"REAL MADRID",21,37,62,80,313,"E2022"
"PARTIZAN MOZZART BET BELGRADE",31,51,75,95,313,"E2022"
"FC BARCELONA",20,45,68,89,314,"E2022"
"ZALGIRIS KAUNAS",21,44,66,81,314,"E2022"
"FENERBAHCE BEKO ISTANBUL",21,35,51,71,315,"E2022"
"OLYMPIACOS PIRAEUS",15,38,45,72,315,"E2022"
"MACCABI PLAYTIKA TEL AVIV",16,32,57,78,316,"E2022"
"AS MONACO",22,41,60,83,316,"E2022"
"PARTIZAN MOZZART BET BELGRADE",32,48,63,80,317,"E2022"
"REAL MADRID",19,45,66,82,317,"E2022"
"ZALGIRIS KAUNAS",10,26,48,66,318,"E2022"
"FC BARCELONA",13,29,61,77,318,"E2022"
"FENERBAHCE BEKO ISTANBUL",18,32,48,73,319,"E2022"
"OLYMPIACOS PIRAEUS",17,33,49,69,319,"E2022"
"MACCABI PLAYTIKA TEL AVIV",17,47,79,104,320,"E2022"
"AS MONACO",24,36,53,69,320,"E2022"
"PARTIZAN MOZZART BET BELGRADE",15,42,55,78,321,"E2022"
"REAL MADRID",27,45,61,85,321,"E2022"
"OLYMPIACOS PIRAEUS",20,44,65,84,323,"E2022"
"FENERBAHCE BEKO ISTANBUL",15,33,52,72,323,"E2022"
"AS MONACO",26,53,72,97,324,"E2022"
"MACCABI PLAYTIKA TEL AVIV",33,49,70,86,324,"E2022"
"REAL MADRID",22,39,69,98,325,"E2022"
"PARTIZAN MOZZART BET BELGRADE",23,55,76,94,325,"E2022"
"OLYMPIACOS PIRAEUS",14,29,56,76,327,"E2022"
"AS MONACO",20,41,43,62,327,"E2022"
"FC BARCELONA",18,42,55,66,328,"E2022"
"REAL MADRID",18,36,58,78,328,"E2022"
"AS MONACO",24,44,60,78,329,"E2022"
"FC BARCELONA",13,28,45,66,329,"E2022"
"OLYMPIACOS PIRAEUS",24,45,63,78,330,"E2022"
"REAL MADRID",17,45,59,79,330,"E2022"
"AS MONACO",22,38,56,75,1,"E2021"
"PANATHINAIKOS OPAP ATHENS",15,28,44,63,1,"E2021"
"MACCABI PLAYTIKA TEL AVIV",25,40,54,69,2,"E2021"
"FC BAYERN MUNICH",18,32,58,68,2,"E2021"
"AX ARMANI EXCHANGE MILAN",21,44,62,84,3,"E2021"
"CSKA MOSCOW",29,45,59,74,3,"E2021"
"REAL MADRID",32,50,68,82,4,"E2021"
"ANADOLU EFES ISTANBUL",15,35,48,69,4,"E2021"
"UNICS KAZAN",22,33,49,69,5,"E2021"
"ZENIT ST PETERSBURG",18,33,51,70,5,"E2021"
"FENERBAHCE BEKO ISTANBUL",18,28,45,61,6,"E2021"
"CRVENA ZVEZDA MTS BELGRADE",15,26,37,57,6,"E2021"
"LDLC ASVEL VILLEURBANNE",19,44,63,88,7,"E2021"
"ZALGIRIS KAUNAS",16,36,55,76,7,"E2021"
"OLYMPIACOS PIRAEUS",28,47,63,75,8,"E2021"
"BASKONIA VITORIA-GASTEIZ",13,22,42,50,8,"E2021"
"FC BARCELONA",28,50,63,96,9,"E2021"
"ALBA BERLIN",15,29,46,64,9,"E2021"
"ZALGIRIS KAUNAS",16,34,51,64,10,"E2021"
"ZENIT ST PETERSBURG",21,40,55,70,10,"E2021"
"PANATHINAIKOS OPAP ATHENS",20,45,64,91,11,"E2021"
"FENERBAHCE BEKO ISTANBUL",21,46,67,87,11,"E2021"
"MACCABI PLAYTIKA TEL AVIV",10,27,37,63,12,"E2021"
"CRVENA ZVEZDA MTS BELGRADE",20,35,54,75,12,"E2021"
"FC BAYERN MUNICH",15,33,47,72,13,"E2021"
"FC BARCELONA",16,44,63,80,13,"E2021"
"UNICS KAZAN",15,35,58,74,80,14,"E2021"
"AS MONACO",18,39,50,74,88,14,"E2021"
"ANADOLU EFES ISTANBUL",21,46,68,96,15,"E2021"
"CSKA MOSCOW",26,51,79,100,15,"E2021"
"ALBA BERLIN",18,31,43,67,16,"E2021"
"LDLC ASVEL VILLEURBANNE",13,34,49,71,16,"E2021"
"OLYMPIACOS PIRAEUS",13,35,54,74,17,"E2021"
"REAL MADRID",10,36,52,68,17,"E2021"
"BASKONIA VITORIA-GASTEIZ",17,30,47,64,18,"E2021"
"AX ARMANI EXCHANGE MILAN",19,38,57,78,18,"E2021"
"UNICS KAZAN",12,26,45,73,19,"E2021"
"FC BAYERN MUNICH",19,37,50,70,19,"E2021"
"CSKA MOSCOW",21,36,59,77,20,"E2021"
"ZENIT ST PETERSBURG",14,31,52,67,20,"E2021"
"ALBA BERLIN",18,27,57,84,21,"E2021"
"FENERBAHCE BEKO ISTANBUL",19,35,53,70,21,"E2021"
"LDLC ASVEL VILLEURBANNE",20,35,53,75,22,"E2021"
"ANADOLU EFES ISTANBUL",25,49,62,73,22,"E2021"
"AX ARMANI EXCHANGE MILAN",26,52,63,83,23,"E2021"
"MACCABI PLAYTIKA TEL AVIV",15,30,49,72,23,"E2021"
"BASKONIA VITORIA-GASTEIZ",15,40,61,81,24,"E2021"
"PANATHINAIKOS OPAP ATHENS",17,35,59,79,24,"E2021"
"CRVENA ZVEZDA MTS BELGRADE",13,29,46,73,25,"E2021"
"ZALGIRIS KAUNAS",14,27,42,61,25,"E2021"
"REAL MADRID",30,51,72,94,26,"E2021"
"AS MONACO",12,39,65,86,26,"E2021"
"FC BARCELONA",10,27,55,67,79,27,"E2021"
"OLYMPIACOS PIRAEUS",17,32,47,67,78,27,"E2021"
"ZENIT ST PETERSBURG",31,43,54,79,28,"E2021"
"FC BAYERN MUNICH",16,35,60,71,28,"E2021"
"FENERBAHCE BEKO ISTANBUL",21,44,61,80,29,"E2021"
"UNICS KAZAN",8,22,27,41,29,"E2021"
"ALBA BERLIN",15,29,47,76,30,"E2021"
"BASKONIA VITORIA-GASTEIZ",21,52,62,80,30,"E2021"
"LDLC ASVEL VILLEURBANNE",21,42,62,85,31,"E2021"
"MACCABI PLAYTIKA TEL AVIV",25,49,75,93,31,"E2021"
"CSKA MOSCOW",17,42,57,78,32,"E2021"
"CRVENA ZVEZDA MTS BELGRADE",21,42,57,76,32,"E2021"
"AS MONACO",22,35,54,75,81,33,"E2021"
"FC BARCELONA",12,31,56,75,85,33,"E2021"
"OLYMPIACOS PIRAEUS",12,36,63,83,34,"E2021"
"ZALGIRIS KAUNAS",23,39,49,68,34,"E2021"
"AX ARMANI EXCHANGE MILAN",16,42,63,75,35,"E2021"
"ANADOLU EFES ISTANBUL",21,36,49,71,35,"E2021"
"REAL MADRID",30,42,62,88,36,"E2021"
"PANATHINAIKOS OPAP ATHENS",18,30,50,65,36,"E2021"
"ANADOLU EFES ISTANBUL",18,32,47,71,37,"E2021"
"UNICS KAZAN",22,37,51,68,37,"E2021"
"ZALGIRIS KAUNAS",24,39,55,73,38,"E2021"
"FC BAYERN MUNICH",13,27,52,75,38,"E2021"
"MACCABI PLAYTIKA TEL AVIV",19,33,55,77,39,"E2021"
"PANATHINAIKOS OPAP ATHENS",13,23,40,73,39,"E2021"
"AX ARMANI EXCHANGE MILAN",14,26,51,73,40,"E2021"
"LDLC ASVEL VILLEURBANNE",17,40,51,72,40,"E2021"
"REAL MADRID",10,35,50,70,41,"E2021"
"FENERBAHCE BEKO ISTANBUL",15,41,52,69,41,"E2021"
"CRVENA ZVEZDA MTS BELGRADE",10,25,46,63,42,"E2021"
"ALBA BERLIN",12,38,58,78,42,"E2021"
"CSKA MOSCOW",20,48,66,88,43,"E2021"
"OLYMPIACOS PIRAEUS",25,38,59,82,43,"E2021"
"BITCI BASKONIA VITORIA-GASTEIZ",21,38,60,78,44,"E2021"
"AS MONACO",20,35,46,66,44,"E2021"
"FC BARCELONA",20,44,66,84,45,"E2021"
"ZENIT ST PETERSBURG",19,27,41,58,45,"E2021"
"AS MONACO",21,41,56,70,46,"E2021"
"CRVENA ZVEZDA MTS BELGRADE",12,36,53,62,46,"E2021"
"FENERBAHCE BEKO ISTANBUL",20,29,48,74,47,"E2021"
"FC BARCELONA",15,35,49,76,47,"E2021"
"OLYMPIACOS PIRAEUS",27,52,71,87,48,"E2021"
"ALBA BERLIN",19,42,59,83,48,"E2021"
"MACCABI PLAYTIKA TEL AVIV",16,39,58,76,49,"E2021"
"ZALGIRIS KAUNAS",20,30,46,62,49,"E2021"
"FC BAYERN MUNICH",21,39,59,83,50,"E2021"
"AX ARMANI EXCHANGE MILAN",24,39,54,77,50,"E2021"
"UNICS KAZAN",24,48,66,83,51,"E2021"
"BITCI BASKONIA VITORIA-GASTEIZ",17,23,44,69,51,"E2021"
"ZENIT ST PETERSBURG",13,40,57,68,52,"E2021"
"REAL MADRID",22,39,59,75,52,"E2021"
"LDLC ASVEL VILLEURBANNE",26,39,53,70,53,"E2021"
"CSKA MOSCOW",13,30,56,68,53,"E2021"
"PANATHINAIKOS OPAP ATHENS",22,52,78,95,54,"E2021"
"ANADOLU EFES ISTANBUL",13,35,55,69,54,"E2021"
"ALBA BERLIN",18,36,55,69,55,"E2021"
"FC BAYERN MUNICH",19,37,57,82,55,"E2021"
"OLYMPIACOS PIRAEUS",19,45,55,67,56,"E2021"
"FENERBAHCE BEKO ISTANBUL",14,34,53,65,56,"E2021"
"MACCABI PLAYTIKA TEL AVIV",31,56,65,85,57,"E2021"
"FC BARCELONA",18,36,54,68,57,"E2021"
"AX ARMANI EXCHANGE MILAN",24,43,62,79,58,"E2021"
"CRVENA ZVEZDA MTS BELGRADE",6,27,50,62,58,"E2021"
"UNICS KAZAN",14,35,49,65,59,"E2021"
"REAL MADRID",11,34,51,58,59,"E2021"
"ZENIT ST PETERSBURG",21,45,65,83,60,"E2021"
"BITCI BASKONIA VITORIA-GASTEIZ",23,30,37,54,60,"E2021"
"AS MONACO",13,39,67,97,61,"E2021"
"CSKA MOSCOW",25,52,64,80,61,"E2021"
"ANADOLU EFES ISTANBUL",24,44,69,94,62,"E2021"
"ZALGIRIS KAUNAS",17,29,46,60,62,"E2021"
"PANATHINAIKOS OPAP ATHENS",18,38,54,70,63,"E2021"
"LDLC ASVEL VILLEURBANNE",24,43,58,84,63,"E2021"
"CSKA MOSCOW",21,44,62,82,64,"E2021"
"FENERBAHCE BEKO ISTANBUL",25,49,69,91,64,"E2021"
"CRVENA ZVEZDA MTS BELGRADE",21,39,57,81,65,"E2021"
"PANATHINAIKOS OPAP ATHENS",8,26,36,48,65,"E2021"
"LDLC ASVEL VILLEURBANNE",21,39,65,85,66,"E2021"
"UNICS KAZAN",24,36,57,82,66,"E2021"
"AX ARMANI EXCHANGE MILAN",28,42,61,75,67,"E2021"
"FC BARCELONA",21,34,49,70,67,"E2021"
"ANADOLU EFES ISTANBUL",20,33,51,79,68,"E2021"
"ZENIT ST PETERSBURG",22,47,73,90,68,"E2021"
"ZALGIRIS KAUNAS",10,37,52,71,69,"E2021"
"ALBA BERLIN",22,41,62,79,69,"E2021"
"OLYMPIACOS PIRAEUS",17,35,59,86,70,"E2021"
"AS MONACO",27,38,52,65,70,"E2021"
"BITCI BASKONIA VITORIA-GASTEIZ",14,35,54,69,71,"E2021"
"MACCABI PLAYTIKA TEL AVIV",21,44,63,87,71,"E2021"
"FC BAYERN MUNICH",13,32,58,76,72,"E2021"
"REAL MADRID",13,43,60,80,72,"E2021"
"CSKA MOSCOW",17,39,58,74,73,"E2021"
