Team,TotalSeconds,total_Points,total_FGMade2,total_FGAtt2,total_FGMade3,total_FGAtt3,total_FTMade,total_FThrowsAtt,total_OReb,total_DReb,total_Reb,total_Assists,total_steals,total_turnovers,total_blocksfavour,total_blocksagainst,total_FoulsCommited,total_FoulsReceived,total_PIR,GameCode,SeasonCode,name_Team
MUN,12000,75,20,38,7,29,14,16,14,26,40,16,7,13,1,1,23,19,79,33,E2020,FC BAYERN MUNICH
OLY,11700,85,21,37,12,29,7,11,13,19,32,21,6,10,0,2,24,17,88,34,E2020,OLYMPIACOS PIRAEUS
TEL,11700,82,22,37,9,16,11,19,7,20,27,16,5,14,2,0,17,24,95,34,E2020,MACCABI PLAYTIKA TEL AVIV
MIL,12000,78,22,45,6,17,16,19,7,23,30,9,7,8,1,3,20,22,79,35,E2020,AX ARMANI EXCHANGE MILAN
MAD,12000,70,11,27,13,30,9,10,9,29,38,16,3,17,3,1,22,20,76,35,E2020,REAL MADRID
BAS,12000,77,18,40,8,25,17,23,13,26,39,12,14,13,1,4,16,23,88,36,E2020,TD SYSTEMS BASKONIA VITORIA-GASTEIZ
KHI,12000,60,16,34,7,25,7,7,8,27,35,16,6,21,4,1,23,16,56,36,E2020,KHIMKI MOSCOW REGION
ZAL,12000,82,19,34,11,28,11,12,8,16,24,16,6,7,1,2,15,21,93,37,E2020,ZALGIRIS KAUNAS
PAM,12000,94,22,30,14,32,8,9,9,25,34,25,3,11,2,1,21,15,113,37,E2020,VALENCIA BASKET
DYR,12000,79,24,36,6,18,13,18,11,21,32,21,7,10,5,0,17,20,108,38,E2020,ZENIT ST PETERSBURG
MIL,12000,70,23,40,6,21,6,7,11,17,28,12,7,10,0,5,20,17,66,38,E2020,AX ARMANI EXCHANGE MILAN
BER,12000,95,19,33,16,29,9,10,8,17,25,21,6,14,0,0,22,17,100,39,E2020,ALBA BERLIN
BAS,12000,91,19,30,12,26,17,22,8,18,26,26,11,16,0,0,18,22,112,39,E2020,TD SYSTEMS BASKONIA VITORIA-GASTEIZ
PAN,12000,82,18,33,12,31,10,14,11,27,38,18,3,9,4,2,16,14,94,40,E2020,PANATHINAIKOS OPAP ATHENS
ULK,12000,68,17,36,9,24,7,9,6,23,29,20,4,8,2,4,14,16,77,40,E2020,FENERBAHCE BEKO ISTANBUL
RED,13500,86,21,48,9,21,17,17,14,21,35,15,6,12,2,5,27,18,79,41,E2020,CRVENA ZVEZDA MTS BELGRADE
CSK,13500,84,17,32,9,25,23,28,10,22,32,16,5,14,5,2,19,26,97,41,E2020,CSKA MOSCOW
KHI,13500,87,20,47,11,27,14,14,13,32,45,17,2,19,7,8,20,16,84,42,E2020,KHIMKI MOSCOW REGION
TEL,13500,89,17,39,14,32,13,18,10,28,38,18,12,13,8,7,16,20,104,42,E2020,MACCABI PLAYTIKA TEL AVIV
IST,12000,72,24,44,2,9,18,21,8,26,34,8,6,13,5,7,16,22,81,43,E2020,ANADOLU EFES ISTANBUL
