Team,TotalSeconds,total_Points,total_FGMade2,total_FGAtt2,total_FGMade3,total_FGAtt3,total_FTMade,total_FThrowsAtt,total_OReb,total_DReb,total_Reb,total_Assists,total_steals,total_turnovers,total_blocksfavour,total_blocksagainst,total_FoulsCommited,total_FoulsReceived,total_PIR,GameCode,SeasonCode,name_Team
RED,12000,94,16,37,17,34,11,13,17,23,40,19,10,10,2,3,21,14,105,1,E2023,CRVENA ZVEZDA MERIDIANBET BELGRADE
ASV,12000,73,17,29,9,25,12,21,9,22,31,17,5,16,3,2,14,21,81,1,E2023,LDLC ASVEL VILLEURBANNE
BAR,12000,91,32,42,6,20,9,12,9,26,35,21,5,13,3,1,15,15,114,2,E2023,FC BARCELONA
IST,12000,74,22,40,9,27,3,6,9,16,25,24,9,10,1,3,15,15,81,2,E2023,ANADOLU EFES ISTANBUL
MUN,12000,80,23,36,9,31,7,10,20,29,49,12,5,16,3,3,21,17,88,3,E2023,FC BAYERN MUNICH
BER,12000,68,16,30,7,24,15,19,3,14,17,14,10,9,3,3,17,21,69,3,E2023,ALBA BERLIN
TEL,12000,96,27,43,9,26,15,20,15,19,34,31,11,12,2,2,19,18,121,4,E2023,MACCABI PLAYTIKA TEL AVIV
PAR,12000,81,26,39,5,17,14,18,7,19,26,18,7,16,2,2,18,19,88,4,E2023,PARTIZAN MOZZART BET BELGRADE
VIR,12000,79,23,39,8,25,9,11,10,22,32,21,8,14,1,3,18,19,90,5,E2023,VIRTUS SEGAFREDO BOLOGNA
ZAL,12000,82,18,39,11,19,13,18,8,22,30,11,6,15,3,1,19,17,80,5,E2023,ZALGIRIS KAUNAS
ULK,13500,85,18,34,14,31,7,11,4,23,27,15,5,12,1,3,23,16,74,6,E2023,FENERBAHCE BEKO ISTANBUL
MIL,13500,82,18,36,11,26,13,18,10,31,41,18,9,19,3,1,16,22,101,6,E2023,EA7 EMPORIO ARMANI MILAN
PAN,13500,78,16,32,10,24,16,19,7,25,32,15,8,19,2,2,17,19,83,7,E2023,PANATHINAIKOS ATHENS
OLY,13500,88,19,35,15,32,5,6,8,22,30,20,13,14,2,2,20,17,100,7,E2023,OLYMPIACOS PIRAEUS
BAS,12000,77,24,51,5,27,14,16,21,31,52,18,4,12,3,4,15,22,94,8,E2023,BASKONIA VITORIA-GASTEIZ
MAD,12000,79,13,29,15,39,8,12,9,28,37,19,7,9,4,3,23,15,82,8,E2023,REAL MADRID
PAM,12000,70,11,28,11,26,15,19,14,24,38,14,5,20,4,2,22,20,71,9,E2023,VALENCIA BASKET
MCO,12000,65,15,33,8,24,11,15,11,18,29,13,12,16,2,4,20,22,65,9,E2023,AS MONACO
BER,12000,86,23,39,8,28,16,17,10,21,31,19,12,16,2,2,19,17,93,10,E2023,ALBA BERLIN
BAS,12000,91,21,35,12,33,13,19,14,25,39,19,8,20,2,2,17,19,98,10,E2023,BASKONIA VITORIA-GASTEIZ
IST,12000,80,20,44,10,25,10,15,13,19,32,19,7,10,2,3,20,15,78,11,E2023,ANADOLU EFES ISTANBUL
MAD,12000,103,21,34,12,29,25,28,10,28,38,22,3,9,3,2,16,20,129,11,E2023,REAL MADRID
MIL,12000,90,22,34,12,30,10,15,10,17,27,25,7,18,1,2,23,20,92,12,E2023,EA7 EMPORIO ARMANI MILAN
TEL,12000,98,30,45,6,20,20,26,14,20,34,22,10,14,2,1,20,23,119,12,E2023,MACCABI PLAYTIKA TEL AVIV
PAN,12000,78,17,28,9,24,17,19,6,26,32,12,6,14,2,3,16,20,89,13,E2023,PANATHINAIKOS ATHENS
MUN,12000,71,23,44,6,27,7,7,14,20,34,11,7,10,3,2,20,16,68,13,E2023,FC BAYERN MUNICH
ASV,12000,62,19,39,4,27,12,12,14,21,35,9,4,14,0,6,17,19,49,14,E2023,LDLC ASVEL VILLEURBANNE
PAR,12000,88,28,41,4,19,20,21,8,28,36,18,11,10,6,0,19,16,117,14,E2023,PARTIZAN MOZZART BET BELGRADE
MCO,12000,59,17,42,4,22,13,25,17,18,35,9,4,8,1,1,19,27,52,15,E2023,AS MONACO
VIR,12000,83,13,30,16,31,9,13,15,31,46,18,4,14,1,1,27,19,93,15,E2023,VIRTUS SEGAFREDO BOLOGNA
OLY,12000,68,21,38,7,25,5,7,10,16,26,17,11,12,2,3,16,15,71,16,E2023,OLYMPIACOS PIRAEUS
BAR,12000,77,12,23,15,26,8,10,7,25,32,20,7,18,3,2,15,16,96,16,E2023,FC BARCELONA
PAM,12000,77,24,49,4,13,17,24,14,28,42,17,4,12,2,6,21,26,88,17,E2023,VALENCIA BASKET
ULK,12000,74,15,28,11,37,11,19,12,20,32,13,6,9,6,2,27,21,67,17,E2023,FENERBAHCE BEKO ISTANBUL
ZAL,12000,79,25,39,7,23,8,14,10,24,34,17,5,8,5,1,22,21,94,18,E2023,ZALGIRIS KAUNAS
RED,12000,74,20,46,6,23,16,20,20,21,41,13,3,10,1,5,21,22,71,18,E2023,CRVENA ZVEZDA MERIDIANBET BELGRADE
IST,12000,89,22,30,9,24,18,22,7,27,34,20,7,16,2,3,20,19,105,19,E2023,ANADOLU EFES ISTANBUL
ASV,12000,84,18,35,10,27,18,21,7,17,24,15,6,13,3,2,19,20,81,19,E2023,LDLC ASVEL VILLEURBANNE
MIL,12000,65,16,27,8,24,9,11,7,22,29,14,7,14,0,2,21,16,65,20,E2023,EA7 EMPORIO ARMANI MILAN
OLY,12000,53,14,34,5,19,10,12,11,20,31,12,6,15,2,0,18,20,55,20,E2023,OLYMPIACOS PIRAEUS
ULK,12000,83,18,31,12,30,11,12,11,23,34,20,6,13,1,1,22,17,93,21,E2023,FENERBAHCE BEKO ISTANBUL
PAN,12000,69,19,32,7,23,10,19,10,18,28,11,5,13,1,1,17,22,67,21,E2023,PANATHINAIKOS ATHENS
PAR,12000,83,27,50,4,12,17,24,9,24,33,11,3,6,2,3,20,23,88,22,E2023,PARTIZAN MOZZART BET BELGRADE
BAR,12000,92,17,39,13,32,19,20,16,26,42,24,4,7,3,2,23,20,111,22,E2023,FC BARCELONA
MAD,12000,93,22,34,12,25,13,19,7,28,35,26,6,13,6,1,18,19,122,23,E2023,REAL MADRID
ZAL,12000,79,21,48,10,24,7,8,11,21,32,14,5,10,1,6,19,18,72,23,E2023,ZALGIRIS KAUNAS
BAS,12000,68,15,37,9,27,11,17,12,21,33,15,7,14,2,5,20,18,58,24,E2023,BASKONIA VITORIA-GASTEIZ
MUN,12000,76,20,30,8,34,12,15,14,29,43,17,7,13,5,2,18,20,96,24,E2023,FC BAYERN MUNICH
RED,12000,76,17,33,10,34,12,13,16,14,30,19,9,10,1,2,20,21,83,25,E2023,CRVENA ZVEZDA MERIDIANBET BELGRADE
MCO,12000,82,21,35,10,23,10,13,12,23,35,23,5,14,2,1,21,20,101,25,E2023,AS MONACO
PAM,12000,75,20,41,7,16,14,17,11,24,35,20,8,16,3,3,19,19,89,26,E2023,VALENCIA BASKET
TEL,12000,66,15,30,8,26,12,17,8,19,27,18,2,15,3,3,19,18,59,26,E2023,MACCABI PLAYTIKA TEL AVIV
VIR,12000,87,22,35,10,29,13,17,8,21,29,21,9,10,2,1,16,17,102,27,E2023,VIRTUS SEGAFREDO BOLOGNA
BER,12000,76,20,37,9,19,9,13,7,25,32,12,6,17,1,2,17,16,76,27,E2023,ALBA BERLIN
ULK,12000,101,21,34,16,38,11,16,15,22,37,22,8,8,1,2,18,19,120,28,E2023,FENERBAHCE BEKO ISTANBUL
ASV,12000,86,21,38,9,24,17,21,11,20,31,20,4,12,2,1,20,18,92,28,E2023,LDLC ASVEL VILLEURBANNE
OLY,13500,98,16,32,11,36,33,36,18,20,38,17,10,13,1,3,22,31,113,29,E2023,OLYMPIACOS PIRAEUS
PAR,13500,94,21,36,10,24,22,27,10,21,31,17,8,18,3,1,32,22,90,29,E2023,PARTIZAN MOZZART BET BELGRADE
MAD,12000,88,24,37,10,23,10,12,7,21,28,21,5,15,1,1,23,20,96,30,E2023,REAL MADRID
MIL,12000,71,23,41,4,19,13,18,14,17,31,10,6,18,1,1,20,21,63,30,E2023,EA7 EMPORIO ARMANI MILAN
BAS,12000,82,16,38,11,32,17,23,12,21,33,17,6,5,3,1,20,24,90,31,E2023,BASKONIA VITORIA-GASTEIZ
ZAL,12000,99,18,39,14,21,21,23,6,33,39,21,1,10,1,3,24,20,114,31,E2023,ZALGIRIS KAUNAS
IST,12000,77,24,39,5,22,14,21,9,25,34,23,5,9,2,2,15,22,98,32,E2023,ANADOLU EFES ISTANBUL
PAM,12000,73,21,40,8,21,7,12,7,27,34,18,4,9,2,2,22,15,76,32,E2023,VALENCIA BASKET
MCO,12000,86,25,40,9,19,9,12,7,26,33,24,7,14,2,1,16,14,107,33,E2023,AS MONACO
BER,12000,75,15,32,11,32,12,14,12,19,31,16,6,14,1,2,14,15,74,33,E2023,ALBA BERLIN
BAR,12000,98,21,40,13,27,17,21,11,31,42,22,7,5,3,1,18,22,133,34,E2023,FC BARCELONA
MUN,12000,59,14,34,7,28,10,14,12,25,37,12,5,12,1,3,22,18,50,34,E2023,FC BAYERN MUNICH
PAN,13500,81,15,32,10,29,21,33,13,26,39,18,13,18,6,3,18,28,98,35,E2023,PANATHINAIKOS ATHENS
TEL,13500,86,20,40,11,28,13,18,12,30,42,24,13,20,3,6,29,18,89,35,E2023,MACCABI PLAYTIKA TEL AVIV
VIR,12000,85,19,31,12,26,11,16,6,29,35,23,3,19,4,0,25,21,96,36,E2023,VIRTUS SEGAFREDO BOLOGNA
RED,12000,79,20,35,8,33,15,21,13,22,35,17,11,12,0,4,21,25,84,36,E2023,CRVENA ZVEZDA MERIDIANBET BELGRADE
BER,12000,85,15,27,12,30,19,21,11,23,34,18,7,11,3,1,17,20,106,37,E2023,ALBA BERLIN
MIL,12000,82,18,33,12,29,10,15,11,20,31,17,4,12,1,3,20,17,80,37,E2023,EA7 EMPORIO ARMANI MILAN
OLY,12000,75,22,34,8,26,7,10,9,30,39,21,7,10,1,3,15,17,99,38,E2023,OLYMPIACOS PIRAEUS
IST,12000,57,15,33,8,31,3,4,12,23,35,14,5,10,3,1,17,15,59,38,E2023,ANADOLU EFES ISTANBUL
PAR,12000,88,25,42,9,20,11,16,9,23,32,17,8,14,2,4,18,21,99,39,E2023,PARTIZAN MOZZART BET BELGRADE
RED,12000,86,16,25,13,31,15,23,8,20,28,22,9,15,4,2,21,18,94,39,E2023,CRVENA ZVEZDA MERIDIANBET BELGRADE
MAD,12000,65,22,44,2,22,15,24,19,29,48,17,5,15,1,2,25,21,64,40,E2023,REAL MADRID
BAR,12000,64,20,45,5,20,9,16,14,29,43,12,8,14,2,1,22,24,69,40,E2023,FC BARCELONA
MCO,12000,107,31,49,12,22,9,13,14,21,35,23,8,9,1,1,19,19,132,41,E2023,AS MONACO
TEL,12000,79,22,43,7,26,14,19,22,13,35,18,4,13,1,1,19,19,78,41,E2023,MACCABI PLAYTIKA TEL AVIV
ASV,12000,84,22,43,9,15,13,16,8,19,27,21,6,15,1,6,14,21,95,42,E2023,LDLC ASVEL VILLEURBANNE
VIR,12000,87,22,36,11,24,10,10,7,20,27,22,8,14,6,1,21,14,101,42,E2023,VIRTUS SEGAFREDO BOLOGNA
MUN,12000,67,20,41,6,29,9,12,13,26,39,12,5,9,4,4,22,21,66,43,E2023,FC BAYERN MUNICH
ULK,12000,76,20,44,7,27,15,18,17,31,48,10,5,11,4,4,21,21,81,43,E2023,FENERBAHCE BEKO ISTANBUL
PAN,12000,95,25,43,9,26,18,21,15,27,42,15,5,13,4,2,18,21,111,44,E2023,PANATHINAIKOS ATHENS
BAS,12000,81,26,44,7,25,8,12,10,22,32,16,7,12,2,4,21,18,79,44,E2023,BASKONIA VITORIA-GASTEIZ
ZAL,12000,72,20,31,7,28,11,13,6,21,27,15,7,14,1,2,17,19,74,45,E2023,ZALGIRIS KAUNAS
PAM,12000,87,24,41,8,19,15,16,4,27,31,15,5,13,2,1,19,16,94,45,E2023,VALENCIA BASKET
MIL,12000,66,12,26,10,27,12,17,9,23,32,18,7,14,0,2,21,21,71,46,E2023,EA7 EMPORIO ARMANI MILAN
MCO,12000,72,20,40,7,17,11,15,9,24,33,11,7,12,2,0,22,21,78,46,E2023,AS MONACO
RED,12000,74,19,35,7,29,15,21,12,25,37,17,11,11,2,1,17,20,88,47,E2023,CRVENA ZVEZDA MERIDIANBET BELGRADE
MUN,12000,68,14,30,11,33,7,9,13,27,40,20,8,17,1,2,20,17,75,47,E2023,FC BAYERN MUNICH
TEL,12000,70,23,49,4,20,12,18,16,25,41,11,4,15,1,4,16,18,62,48,E2023,MACCABI PLAYTIKA TEL AVIV
MAD,12000,99,28,43,11,32,10,10,10,27,37,29,8,7,4,1,18,16,131,48,E2023,REAL MADRID
ZAL,12000,88,21,34,11,28,13,14,12,17,29,15,4,11,2,1,22,18,91,49,E2023,ZALGIRIS KAUNAS
ASV,12000,91,27,37,7,20,16,18,7,19,26,24,7,9,1,2,18,22,117,49,E2023,LDLC ASVEL VILLEURBANNE
ULK,12000,79,23,33,7,24,12,14,6,19,25,22,6,9,3,2,22,19,92,50,E2023,FENERBAHCE BEKO ISTANBUL
OLY,12000,77,21,35,7,19,14,20,7,22,29,22,2,11,2,3,19,22,89,50,E2023,OLYMPIACOS PIRAEUS
BAR,12000,80,27,48,4,18,14,20,13,29,42,10,9,14,2,1,18,19,88,51,E2023,FC BARCELONA
PAN,12000,72,17,38,8,22,14,17,7,22,29,15,4,12,1,2,19,18,68,51,E2023,PANATHINAIKOS ATHENS
BAS,12000,84,19,38,8,28,22,28,16,22,38,18,7,10,2,7,20,24,91,52,E2023,BASKONIA VITORIA-GASTEIZ
PAR,12000,83,20,30,9,24,16,17,2,24,26,17,6,13,7,2,24,20,94,52,E2023,PARTIZAN MOZZART BET BELGRADE
PAM,12000,79,23,43,7,23,12,14,12,24,36,18,10,16,3,5,20,17,84,53,E2023,VALENCIA BASKET
BER,12000,71,13,28,9,28,18,20,10,23,33,13,9,17,5,3,17,20,78,53,E2023,ALBA BERLIN
VIR,12000,93,26,46,7,20,20,26,17,15,32,22,10,8,2,2,23,23,110,54,E2023,VIRTUS SEGAFREDO BOLOGNA
IST,12000,81,21,33,7,16,18,22,7,18,25,11,4,14,2,2,23,23,82,54,E2023,ANADOLU EFES ISTANBUL
IST,13500,86,21,41,10,25,14,17,9,29,38,13,7,11,4,2,17,22,102,55,E2023,ANADOLU EFES ISTANBUL
ZAL,13500,82,21,41,12,31,4,5,9,25,34,18,7,11,2,4,22,17,83,55,E2023,ZALGIRIS KAUNAS
MIL,12000,83,19,34,12,31,9,13,11,29,40,17,12,12,5,1,16,19,109,56,E2023,EA7 EMPORIO ARMANI MILAN
PAM,12000,52,9,32,7,24,13,16,11,26,37,14,7,19,1,5,19,16,41,56,E2023,VALENCIA BASKET
TEL,12000,93,20,34,10,26,23,25,9,15,24,20,12,17,2,1,21,23,103,57,E2023,MACCABI PLAYTIKA TEL AVIV
MUN,12000,90,27,37,9,22,9,14,8,21,29,14,5,23,1,2,23,21,84,57,E2023,FC BAYERN MUNICH
PAR,12000,85,22,42,8,20,17,18,10,20,30,20,7,8,1,2,21,18,97,58,E2023,PARTIZAN MOZZART BET BELGRADE
ULK,12000,84,18,30,11,31,15,16,12,22,34,18,3,12,2,1,18,21,98,58,E2023,FENERBAHCE BEKO ISTANBUL
MAD,12000,100,19,37,11,26,29,34,8,29,37,28,7,8,3,1,21,27,134,59,E2023,REAL MADRID
VIR,12000,74,20,32,6,25,16,21,5,24,29,17,4,19,1,3,28,20,59,59,E2023,VIRTUS SEGAFREDO BOLOGNA
OLY,12000,74,15,27,12,29,8,10,5,21,26,20,5,13,4,2,17,12,78,60,E2023,OLYMPIACOS PIRAEUS
BAS,12000,75,19,33,9,28,10,12,10,24,34,18,6,14,2,4,12,17,87,60,E2023,BASKONIA VITORIA-GASTEIZ
BER,12000,85,20,42,12,28,9,12,15,19,34,20,7,13,1,3,21,17,86,61,E2023,ALBA BERLIN
PAN,12000,99,23,33,13,29,14,17,7,26,33,27,8,12,3,1,17,21,132,61,E2023,PANATHINAIKOS ATHENS
MCO,12000,80,16,37,12,32,12,14,13,22,35,18,10,7,1,3,15,13,89,62,E2023,AS MONACO
ASV,12000,70,18,39,9,23,7,10,14,29,43,15,4,17,3,1,14,15,80,62,E2023,LDLC ASVEL VILLEURBANNE
BAR,12000,86,26,39,7,20,13,20,4,23,27,21,4,9,5,1,17,17,100,63,E2023,FC BARCELONA
RED,12000,81,21,39,9,35,12,14,18,26,44,23,5,11,1,5,18,17,91,63,E2023,CRVENA ZVEZDA MERIDIANBET BELGRADE
MCO,12000,82,19,41,7,21,23,26,14,23,37,11,4,10,0,3,16,22,88,64,E2023,AS MONACO
IST,12000,89,22,34,13,30,6,7,5,22,27,24,7,7,3,0,22,16,107,64,E2023,ANADOLU EFES ISTANBUL
RED,12000,87,20,37,13,27,8,9,12,29,41,18,8,10,0,6,15,17,108,65,E2023,CRVENA ZVEZDA MERIDIANBET BELGRADE
ULK,12000,56,15,33,8,24,2,4,6,19,25,13,2,12,6,0,17,15,52,65,E2023,FENERBAHCE BEKO ISTANBUL
TEL,12000,74,20,33,6,30,16,22,12,24,36,17,5,7,8,3,21,20,86,66,E2023,MACCABI PLAYTIKA TEL AVIV
OLY,12000,79,22,43,7,22,14,21,18,24,42,21,3,12,3,8,21,21,85,66,E2023,OLYMPIACOS PIRAEUS
PAM,12000,73,28,49,4,13,5,8,10,18,28,15,3,12,1,5,22,15,63,67,E2023,VALENCIA BASKET
MAD,12000,76,16,27,10,27,14,15,8,23,31,15,6,15,5,1,15,21,94,67,E2023,REAL MADRID
VIR,12000,86,22,39,11,24,9,11,7,22,29,20,6,7,2,2,15,17,104,68,E2023,VIRTUS SEGAFREDO BOLOGNA
MIL,12000,79,17,31,12,29,9,16,11,23,34,18,4,13,2,2,17,15,82,68,E2023,EA7 EMPORIO ARMANI MILAN
BER,12000,68,17,33,7,36,13,14,14,25,39,15,11,17,2,1,24,16,63,69,E2023,ALBA BERLIN
ASV,12000,73,18,42,7,20,16,24,12,29,41,12,8,16,1,2,16,23,79,69,E2023,LDLC ASVEL VILLEURBANNE
MUN,12000,94,21,39,13,28,13,16,13,26,39,16,7,9,1,4,25,23,106,70,E2023,FC BAYERN MUNICH
PAR,12000,85,21,31,8,27,19,23,3,22,25,15,3,8,4,1,23,25,92,70,E2023,PARTIZAN MOZZART BET BELGRADE
PAN,12000,73,17,29,7,19,18,31,10,15,25,14,8,16,4,3,18,29,79,71,E2023,PANATHINAIKOS ATHENS
ZAL,12000,71,15,31,10,20,11,14,11,23,34,16,5,23,3,4,29,18,62,71,E2023,ZALGIRIS KAUNAS
BAS,12000,94,19,33,14,30,14,14,6,34,40,19,8,14,2,3,17,14,113,72,E2023,BASKONIA VITORIA-GASTEIZ
BAR,12000,71,15,40,11,31,8,13,12,23,35,16,5,13,3,2,15,17,67,72,E2023,FC BARCELONA
MIL,12000,92,20,31,13,24,13,17,5,27,32,21,1,10,0,1,23,19,105,73,E2023,EA7 EMPORIO ARMANI MILAN
IST,12000,76,20,31,7,25,15,21,5,19,24,16,6,8,1,0,19,23,84,73,E2023,ANADOLU EFES ISTANBUL
TEL,12000,78,24,52,5,24,15,17,22,23,45,12,10,12,3,3,27,22,79,74,E2023,MACCABI PLAYTIKA TEL AVIV
ULK,12000,73,11,27,11,28,18,24,8,25,33,14,3,16,3,3,22,27,73,74,E2023,FENERBAHCE BEKO ISTANBUL
OLY,12000,88,17,30,13,30,15,24,12,27,39,26,3,11,5,2,18,24,115,75,E2023,OLYMPIACOS PIRAEUS
RED,12000,83,15,33,15,33,8,11,11,20,31,14,7,10,2,5,25,18,76,75,E2023,CRVENA ZVEZDA MERIDIANBET BELGRADE
MAD,12000,91,18,21,12,34,19,20,5,34,39,27,3,12,8,0,18,21,133,76,E2023,REAL MADRID
MCO,12000,73,19,49,8,24,11,11,11,22,33,17,8,8,0,8,21,18,66,76,E2023,AS MONACO
BAR,12000,74,21,36,5,30,17,21,15,28,43,17,5,8,4,0,22,23,92,77,E2023,FC BARCELONA
PAM,12000,70,21,48,6,16,10,17,15,24,39,8,4,12,0,4,23,22,60,77,E2023,VALENCIA BASKET
ASV,12000,81,22,47,9,19,10,15,9,28,37,18,3,7,0,2,16,19,93,78,E2023,LDLC ASVEL VILLEURBANNE
BAS,12000,88,12,25,16,36,16,18,6,29,35,23,2,8,2,0,20,16,103,78,E2023,BASKONIA VITORIA-GASTEIZ
PAN,12000,90,22,38,7,24,25,27,11,26,37,17,8,8,2,6,17,24,112,79,E2023,PANATHINAIKOS ATHENS
VIR,12000,76,21,36,8,29,10,16,11,22,33,14,3,11,6,2,25,17,69,79,E2023,VIRTUS SEGAFREDO BOLOGNA
PAR,12000,89,19,27,11,31,18,19,8,21,29,19,6,13,3,0,17,19,106,80,E2023,PARTIZAN MOZZART BET BELGRADE
BER,12000,74,16,30,8,27,18,21,11,18,29,19,5,17,0,3,19,17,69,80,E2023,ALBA BERLIN
ZAL,12000,74,14,30,13,30,7,13,6,26,32,14,5,9,1,4,12,11,73,81,E2023,ZALGIRIS KAUNAS
MUN,12000,73,23,47,8,21,3,4,11,28,39,17,5,10,4,1,11,12,90,81,E2023,FC BAYERN MUNICH
ASV,15000,100,20,45,13,33,21,26,8,29,37,22,10,7,1,4,21,26,114,82,E2023,LDLC ASVEL VILLEURBANNE
MUN,15000,101,22,38,15,40,12,17,13,36,49,18,5,15,4,1,26,21,110,82,E2023,FC BAYERN MUNICH
TEL,12000,90,25,40,8,21,16,26,12,21,33,22,7,19,4,1,22,26,102,83,E2023,MACCABI PLAYTIKA TEL AVIV
BAR,12000,92,24,37,9,28,17,23,16,21,37,15,7,17,1,4,26,20,87,83,E2023,FC BARCELONA
PAN,12000,90,20,33,12,29,14,21,9,23,32,19,7,10,2,2,22,21,100,84,E2023,PANATHINAIKOS AKTOR ATHENS
PAM,12000,73,20,38,5,20,18,21,12,22,34,21,6,13,2,2,21,22,86,84,E2023,VALENCIA BASKET
MAD,12000,99,21,35,16,27,9,13,10,26,36,32,9,14,4,4,12,11,132,85,E2023,REAL MADRID
BER,12000,75,24,52,7,19,6,9,16,16,32,13,10,13,4,4,11,12,75,85,E2023,ALBA BERLIN
VIR,12000,87,22,33,9,28,16,21,8,26,34,21,4,11,2,1,20,18,99,86,E2023,VIRTUS SEGAFREDO BOLOGNA
ULK,12000,79,26,44,5,24,12,13,10,22,32,19,6,9,1,2,18,20,90,86,E2023,FENERBAHCE BEKO ISTANBUL
IST,12000,100,19,32,12,22,26,30,6,10,16,18,16,11,1,1,21,23,114,87,E2023,ANADOLU EFES ISTANBUL
PAR,12000,94,21,33,11,20,19,25,12,19,31,24,6,20,1,1,23,20,105,87,E2023,PARTIZAN MOZZART BET BELGRADE
RED,12000,71,18,33,7,27,14,16,8,19,27,17,5,11,3,1,16,16,74,88,E2023,CRVENA ZVEZDA MERIDIANBET BELGRADE
MIL,12000,93,15,31,17,27,12,14,6,27,33,11,7,11,1,3,16,16,103,88,E2023,EA7 EMPORIO ARMANI MILAN
OLY,12000,89,14,24,15,29,16,24,5,22,27,23,7,6,2,3,21,22,108,89,E2023,OLYMPIACOS PIRAEUS
ZAL,12000,72,18,37,8,18,12,12,5,22,27,13,5,10,3,2,22,21,78,89,E2023,ZALGIRIS KAUNAS
BAS,12000,75,16,31,11,29,10,12,8,28,36,16,3,12,3,5,16,17,82,90,E2023,BASKONIA VITORIA-GASTEIZ
MCO,12000,77,19,44,10,27,9,11,14,25,39,12,5,6,5,3,17,16,84,90,E2023,AS MONACO
MCO,12000,85,20,35,8,24,21,27,13,23,36,15,7,8,2,0,19,23,104,91,E2023,AS MONACO
OLY,12000,77,16,30,11,24,12,18,6,18,24,18,4,13,0,2,23,18,70,91,E2023,OLYMPIACOS PIRAEUS
MUN,12000,90,26,46,7,24,17,17,17,26,43,16,8,13,8,4,23,22,110,92,E2023,FC BAYERN MUNICH
VIR,12000,76,22,45,6,19,14,21,13,20,33,19,4,13,4,8,23,22,71,92,E2023,VIRTUS SEGAFREDO BOLOGNA
ULK,13500,100,21,44,12,32,22,27,15,22,37,14,8,11,1,1,23,22,99,93,E2023,FENERBAHCE BEKO ISTANBUL
MAD,13500,99,32,49,5,23,20,24,14,30,44,15,4,14,1,1,22,23,110,93,E2023,REAL MADRID
TEL,12000,102,20,42,15,25,17,19,11,25,36,27,12,16,3,6,22,18,120,94,E2023,MACCABI PLAYTIKA TEL AVIV
BER,12000,81,20,36,10,31,11,15,13,21,34,18,6,20,6,3,18,21,84,94,E2023,ALBA BERLIN
PAR,13500,92,30,48,6,21,14,18,9,28,37,15,9,14,2,5,23,17,93,95,E2023,PARTIZAN MOZZART BET BELGRADE
PAN,13500,87,26,49,5,20,20,26,11,26,37,20,11,12,5,2,18,22,106,95,E2023,PANATHINAIKOS AKTOR ATHENS
MIL,12000,70,16,27,8,26,14,19,12,16,28,12,7,11,5,1,19,22,79,96,E2023,EA7 EMPORIO ARMANI MILAN
ZAL,12000,83,22,37,11,21,6,9,11,19,30,16,6,12,1,5,22,19,88,96,E2023,ZALGIRIS KAUNAS
RED,12000,97,26,41,10,28,15,20,13,30,43,21,8,14,3,2,21,22,119,97,E2023,CRVENA ZVEZDA MERIDIANBET BELGRADE
IST,12000,83,18,33,11,31,14,16,6,20,26,16,8,14,2,3,22,19,78,97,E2023,ANADOLU EFES ISTANBUL
BAR,12000,101,20,29,17,26,10,12,3,21,24,26,4,15,3,1,20,17,119,98,E2023,FC BARCELONA
ASV,12000,92,22,41,13,25,9,11,11,16,27,23,11,11,1,3,17,20,110,98,E2023,LDLC ASVEL VILLEURBANNE
PAM,12000,84,23,43,5,26,23,31,14,19,33,16,11,8,0,4,26,20,77,99,E2023,VALENCIA BASKET
BAS,12000,98,23,34,11,27,19,28,10,30,40,25,5,16,4,0,21,25,124,99,E2023,BASKONIA VITORIA-GASTEIZ
BER,12000,64,15,38,7,27,13,17,16,20,36,9,11,13,2,4,17,22,63,100,E2023,ALBA BERLIN
ZAL,12000,62,12,24,8,21,14,16,5,29,34,12,7,23,4,2,22,17,62,100,E2023,ZALGIRIS KAUNAS
IST,12000,71,21,42,5,29,14,16,19,21,40,17,6,9,4,3,16,17,80,101,E2023,ANADOLU EFES ISTANBUL
PAN,12000,68,17,32,8,20,10,11,6,26,32,14,6,16,3,4,18,16,73,101,E2023,PANATHINAIKOS AKTOR ATHENS
MUN,13500,91,23,36,12,30,9,10,11,33,44,13,3,16,4,1,18,17,105,102,E2023,FC BAYERN MUNICH
MIL,13500,84,17,33,14,36,8,8,2,20,22,15,9,7,1,4,17,18,83,102,E2023,EA7 EMPORIO ARMANI MILAN
OLY,12000,71,14,32,9,33,16,22,17,18,35,15,6,6,0,5,21,22,69,103,E2023,OLYMPIACOS PIRAEUS
MAD,12000,77,16,30,10,22,15,16,8,26,34,17,6,13,5,0,22,21,98,103,E2023,REAL MADRID
PAR,13500,89,21,33,8,25,23,29,9,27,36,16,3,16,2,0,24,28,99,104,E2023,PARTIZAN MOZZART BET BELGRADE
MCO,13500,85,22,44,9,26,14,19,14,22,36,17,6,12,0,2,29,24,81,104,E2023,AS MONACO
ASV,12000,91,25,43,7,26,20,23,11,21,32,19,9,8,1,3,20,23,104,105,E2023,LDLC ASVEL VILLEURBANNE
TEL,12000,94,28,46,8,27,14,19,15,28,43,19,4,10,3,1,23,20,107,105,E2023,MACCABI PLAYTIKA TEL AVIV
BAS,12000,80,21,39,10,29,8,11,17,19,36,14,7,15,2,0,18,15,81,106,E2023,BASKONIA VITORIA-GASTEIZ
ULK,12000,79,22,38,9,22,8,11,9,21,30,19,6,13,0,2,15,18,90,106,E2023,FENERBAHCE BEKO ISTANBUL
